Game,EGO,Spread,Spread Target,Pick
HOU @ PHI,-6.98,8.0,"[10.5, 8.5]",
CLE @ MIA,-3.07,6.0,"[7.0, 4.5]",CLE
SF @ GB,-7.78,9.0,"[11.5, 9.5]",
WAS @ NYG,-9.95,7.5,"[8.5, 6.0]",NYG
CHI @ DET,0.5,-5.5,"[-2.0, -4.0]",
DEN @ KC,-5.45,8.0,"[9.0, 7.0]",DEN
JAC @ TEN,-7.3,3.0,"[6.0, 3.5]",
NO @ CIN,3.61,-7.0,"[-5.0, -7.5]",CIN
BUF @ MIN,-2.09,5.0,"[6.0, 3.5]",BUF
OAK @ SD,-9.83,13.0,"[13.5, 11.5]",OAK
DAL @ IND,-7.93,5.5,"[6.5, 4.0]",IND
STL @ ARI,2.21,-3.5,"[-3.5, -6.0]",ARI
ATL @ TB,0.99,-3.0,"[-2.5, -4.5]",TB
CAR @ SEA,-4.27,5.0,"[8.0, 6.0]",
PIT @ BAL,0.52,3.0,"[3.0, 1.0]",PIT
NYJ @ NE,-5.2,4.0,"[3.5, 1.5]",
