Game,EGO,Spread,Spread Target,Pick
NO @ CAR,-0.19,3.5,"[4.0, 1.5]",NO
ARI @ MIN,-3.2,2.0,"[1.5, -0.5]",
BAL @ DAL,-6.54,7.0,"[10.0, 8.0]",
BUF @ CIN,-0.93,2.5,"[4.5, 2.5]",BUF
CHI @ NYG,-4.16,7.0,"[8.0, 5.5]",CHI
JAC @ DET,-2.38,5.5,"[6.0, 4.0]",JAC
PIT @ CLE,7.23,-8.0,"[-8.5, -11.0]",
TB @ KC,-4.31,7.0,"[8.0, 6.0]",TB
TEN @ IND,1.23,3.0,"[2.5, 0.5]",
MIA @ LARM,2.66,1.0,"[1.0, -1.0]",MIA
NE @ SF,6.56,-10.5,"[-8.0, -10.5]",SF
PHI @ SEA,-0.66,6.5,"[4.5, 2.0]",
GB @ WAS,-3.92,3.0,"[2.5, 0.0]",
HOU @ OAK,-10.06,6.5,"[8.5, 6.5]",OAK
