TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,1.1%,18,-1.2%,21,4-4-1,-11.2%,26,-17.5%,4,-5.3%,30
ATL,19.3%,4,20.7%,5,6-4,25.3%,1,8.8%,26,2.8%,7
BAL,2.3%,22,1.9%,17,5-4,-22.8%,32,-22.3%,2,2.9%,6
BUF,6.8%,10,8.3%,9,4-5,13.9%,6,5.7%,23,-1.4%,19
CAR,-4.6%,23,-5.6%,22,3-6,-0.1%,14,-0.4%,15,-4.8%,29
CHI,-8.0%,16,-7.0%,24,2-7,-7.0%,21,1.5%,16,0.5%,16
CIN,2.0%,19,2.4%,15,3-5-1,10.6%,10,5.4%,22,-3.2%,23
CLE,-35.7%,31,-36.4%,32,0-10,-10.3%,25,21.1%,30,-4.3%,28
DAL,20.9%,2,21.9%,3,8-1,23.4%,2,3.9%,19,1.4%,11
DEN,6.5%,6,6.6%,10,6-3,-12.5%,28,-18.5%,3,0.5%,17
DET,-14.4%,27,-15.3%,27,5-4,3.2%,12,22.6%,32,5.0%,4
GB,1.5%,7,1.5%,18,4-5,1.5%,13,-3.5%,12,-3.5%,25
HOU,-27.0%,30,-27.5%,30,6-3,-22.8%,31,-2.4%,13,-6.6%,31
IND,-16.4%,26,-15.2%,26,4-5,-0.9%,15,22.4%,31,6.9%,2
JAC,-16.8%,28,-16.0%,28,2-7,-12.2%,27,2.1%,17,-2.4%,21
KC,3.9%,11,4.0%,12,7-2,-7.3%,22,-6.5%,9,4.7%,5
LARM,-9.0%,24,-8.1%,25,4-5,-21.1%,30,-6.2%,10,6.0%,3
MIA,12.0%,12,13.8%,6,5-4,-1.1%,16,-11.4%,7,1.7%,10
MIN,4.4%,8,3.3%,14,5-4,-8.9%,23,-12.5%,6,0.8%,15
NE,19.0%,5,20.9%,4,7-2,19.7%,3,2.7%,18,2.0%,8
NO,3.0%,20,3.6%,13,4-5,17.5%,5,11.2%,29,-3.3%,24
NYG,2.1%,14,1.9%,16,6-3,-2.8%,18,-8.7%,8,-3.8%,27
NYJ,-29.7%,32,-31.1%,31,3-7,-15.3%,29,6.6%,24,-7.8%,32
OAK,8.9%,9,9.3%,8,7-2,18.7%,4,11.1%,28,1.2%,12
PHI,30.2%,1,31.3%,1,5-4,-6.3%,20,-26.6%,1,9.9%,1
PIT,6.5%,17,5.4%,11,4-5,11.7%,8,4.1%,20,-1.0%,18
SD,0.8%,13,0.3%,20,4-6,-2.3%,17,-4.7%,11,-1.5%,20
SEA,23.6%,3,24.2%,2,6-2-1,5.4%,11,-17.1%,5,1.2%,13
SF,-16.9%,29,-18.0%,29,1-8,-9.6%,24,8.2%,25,0.9%,14
TB,-5.9%,25,-5.6%,23,4-5,-3.7%,19,-0.6%,14,-2.7%,22
TEN,-0.3%,21,0.4%,19,5-5,12.8%,7,9.5%,27,-3.6%,26
WAS,8.5%,15,9.3%,7,5-3-1,10.9%,9,4.2%,21,1.8%,9
