Game,EGO,Spread,Spread Target,Pick
PHI @ SEA,2.19,-3.0,"[-3.5, -6.0]",
CAR @ TB,-2.81,-2.5,"[1.5, -1.0]",
CIN @ PIT,-5.79,7.0,"[9.5, 7.5]",
IND @ NE,-16.67,20.5,"[20.5, 18.0]",IND
TEN @ BUF,1.23,1.0,"[2.5, 0.5]",TEN
ATL @ HOU,-6.13,-2.0,"[4.5, 2.5]",
KC @ CHI,-11.86,9.0,"[10.5, 8.0]",CHI
NYJ @ WAS,6.51,-3.0,"[-3.0, -5.0]",NYJ
OAK @ MIA,-1.83,3.0,"[5.5, 3.5]",
DEN @ MIN,1.03,1.5,"[2.5, 0.5]",DEN
BAL @ CLE,5.54,-7.0,"[-7.0, -9.0]",CLE
DAL @ ARI,5.86,-4.5,"[-2.0, -4.5]",DAL
GB @ NYG,2.12,-7.0,"[-3.5, -6.0]",
STL @ SF,-13.59,14.5,"[17.5, 15.0]",
DET @ NO,-4.23,9.0,"[8.0, 5.5]",
SD @ JAC,-2.86,-3.0,"[1.5, -1.0]",
