TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-26.4%,29,-27.1%,30,4-7,-16.9%,29,13.1%,29,3.6%,5
ATL,17.3%,10,18.6%,9,7-4,10.3%,10,-6.9%,8,0.0%,16
BAL,21.3%,9,21.1%,7,8-3,6.3%,15,-19.4%,1,-4.3%,29
BUF,-4.0%,20,-9.4%,22,5-6,10.0%,11,12.9%,28,-1.0%,22
CAR,-12.0%,28,-12.0%,23,3-8,15.4%,6,21.7%,32,-5.8%,30
CHI,19.3%,6,21.9%,6,7-4,-2.6%,22,-10.8%,5,11.1%,1
CIN,6.8%,16,7.1%,13,7-4,7.6%,12,3.6%,15,2.8%,7
CLE,-14.1%,25,-13.4%,26,4-7,-7.0%,25,7.1%,20,0.0%,19
DAL,8.4%,12,8.8%,12,7-4,10.6%,9,0.6%,11,-1.6%,25
DEN,-5.6%,19,-3.8%,19,6-5,-2.8%,24,6.1%,17,3.2%,6
DET,9.6%,13,9.3%,11,7-4,5.1%,17,-10.8%,4,-6.4%,31
GB,27.1%,2,25.8%,2,11-0,37.6%,1,12.3%,26,1.9%,10
HOU,35.1%,1,36.7%,1,8-3,23.8%,4,-8.9%,7,2.4%,9
IND,-42.5%,32,-44.6%,32,0-11,-16.1%,28,19.5%,31,-7.0%,32
JAC,-11.7%,26,-9.1%,20,3-8,-22.2%,31,-14.1%,2,-3.5%,28
KC,-25.5%,30,-23.7%,29,4-7,-18.1%,30,8.8%,21,1.4%,11
MIA,-2.7%,17,-1.1%,18,3-8,0.5%,21,2.8%,14,-0.4%,20
MIN,-16.7%,27,-18.5%,28,2-9,-2.7%,23,12.5%,27,-1.6%,24
NE,25.2%,3,25.2%,3,8-3,33.5%,2,10.9%,23,2.6%,8
NO,19.6%,11,18.5%,10,8-3,31.2%,3,11.2%,25,-0.4%,21
NYG,7.1%,8,6.3%,15,6-5,13.3%,7,6.2%,18,0.0%,18
NYJ,22.6%,5,22.6%,5,6-5,4.4%,18,-13.6%,3,4.6%,3
OAK,1.8%,18,0.7%,17,7-4,7.1%,14,5.3%,16,0.0%,17
PHI,5.3%,14,6.8%,14,4-7,11.0%,8,7.0%,19,1.3%,12
PIT,20.7%,7,23.6%,4,8-3,17.4%,5,-2.0%,9,1.3%,13
SD,-11.3%,23,-12.0%,24,4-7,6.1%,16,14.3%,30,-3.1%,27
SEA,-14.4%,24,-13.0%,25,4-7,-11.9%,26,2.7%,13,0.2%,15
SF,19.4%,4,19.6%,8,9-2,1.2%,20,-9.7%,6,8.6%,2
STL,-36.1%,31,-34.7%,31,2-9,-25.4%,32,9.0%,22,-1.6%,26
TB,-6.7%,21,-9.3%,21,4-7,3.1%,19,11.0%,24,1.2%,14
TEN,8.9%,15,6.2%,16,6-5,7.4%,13,2.7%,12,4.2%,4
WAS,-14.0%,22,-16.1%,27,4-7,-12.2%,27,0.3%,10,-1.5%,23
