Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+7.5 / -7.5,ARI,SEA,-,+7.5 / -7.5
+10.5 / -10.5,CAR,JAX,-,+10.5 / -10.5
+3.0 / -3.0,CHI,WAS,-,+3.0 / -3.0
-3.5 / 3.5,CLE,NYJ,-,-3.5 / 3.5
-10.5 / 10.5,DAL,DET,-,-10.5 / 10.5
-9.0 / 9.0,IND,BAL,-,-9.0 / 9.0
+7.5 / -7.5,KAN,DEN,-,+7.5 / -7.5
+7.0 / -7.0,MIA,BUF,-,+7.0 / -7.0
-8.5 / 8.5,MIN,SFO,-,-8.5 / 8.5
-4.5 / 4.5,NOR,ATL,-,-4.5 / 4.5
+3.0 / -3.0,NYG,PHI,-,+3.0 / -3.0
+10.0 / -10.0,OAK,GNB,-,+10.0 / -10.0
+10.5 / -10.5,PIT,NWE,-,+10.5 / -10.5
-1.0 / 1.0,SDG,TEN,-,-1.0 / 1.0
+10.0 / -10.0,STL,CIN,-,+10.0 / -10.0
-2.5 / 2.5,TAM,HOU,-,-2.5 / 2.5
