TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-6.4%,18,-7.4%,21,6-6,-2.1%,18,1.2%,16,-3.1%,24
ATL,-24.7%,28,-24.4%,28,3-9,-14.1%,26,9.6%,22,-1.0%,16
BAL,-3.3%,24,-3.5%,17,4-8,-15.0%,27,-14.4%,2,-2.7%,23
BUF,-4.3%,19,-1.2%,16,6-6,-5.3%,21,4.3%,20,5.3%,5
CAR,-27.7%,30,-28.9%,30,5-7,-17.8%,28,2.8%,18,-7.2%,32
CHI,-8.9%,25,-5.4%,19,5-7,-19.4%,30,-1.5%,14,9.0%,1
CIN,5.6%,15,5.1%,12,4-8,16.4%,5,10.1%,25,-0.7%,15
CLE,7.1%,13,12.6%,11,7-5,13.5%,7,13.7%,30,7.3%,2
DAL,41.9%,2,43.7%,2,11-1,31.0%,2,-10.0%,7,0.9%,14
DEN,-7.9%,16,-8.9%,22,5-7,5.5%,12,10.0%,24,-3.4%,26
DET,-17.2%,22,-18.7%,26,6-6,-2.5%,19,9.1%,21,-5.6%,31
GB,24.9%,4,26.3%,3,10-2,21.7%,4,-0.6%,15,2.5%,11
HOU,-12.7%,20,-15.9%,25,5-7,-1.1%,17,13.2%,28,1.6%,13
IND,31.1%,3,24.1%,4,10-2,25.6%,3,-10.6%,6,-5.1%,30
JAC,15.8%,8,17.2%,8,8-4,15.3%,6,3.3%,19,3.7%,9
KC,-11.7%,23,-9.2%,23,4-8,-20.6%,31,-10.8%,5,-1.9%,19
MIA,-25.1%,26,-27.4%,29,0-12,-9.6%,23,13.5%,29,-2.0%,20
MIN,15.2%,10,16.5%,9,6-6,7.6%,10,-3.9%,12,3.8%,8
NE,61.4%,1,59.0%,1,12-0,47.0%,1,-9.7%,8,4.7%,7
NO,-10.1%,21,-4.0%,18,5-7,5.8%,11,12.7%,27,-3.2%,25
NYG,1.0%,11,0.8%,13,8-4,-0.7%,16,-4.0%,11,-2.3%,22
NYJ,-16.4%,27,-11.7%,24,3-9,-6.3%,22,15.3%,32,5.3%,6
OAK,-23.9%,29,-20.9%,27,4-8,-12.7%,25,9.8%,23,-1.4%,17
PHI,3.4%,12,0.0%,15,5-7,9.6%,9,2.6%,17,-3.6%,27
PIT,25.1%,5,18.5%,6,9-3,3.3%,14,-24.1%,1,-2.2%,21
SD,16.4%,7,18.5%,7,7-5,5.4%,13,-4.8%,10,6.2%,3
SEA,15.1%,9,13.9%,10,8-4,1.2%,15,-11.1%,4,2.8%,10
SF,-44.7%,32,-45.9%,32,3-9,-34.8%,32,15.3%,31,5.4%,4
STL,-32.3%,31,-30.8%,31,3-9,-18.1%,29,10.2%,26,-3.9%,29
TB,19.4%,6,20.7%,5,8-4,13.1%,8,-8.1%,9,-1.8%,18
TEN,-2.8%,17,-6.6%,20,7-5,-10.4%,24,-11.5%,3,-3.9%,28
WAS,1.1%,14,0.3%,14,5-7,-4.2%,20,-3.3%,13,2.0%,12
