Game,EGO,Spread,Spread Target,Pick
CHI @ WAS,-3.47,3.0,"[2.0, -0.0]",
TB @ HOU,6.02,-2.5,"[-2.5, -4.5]",TB
MIA @ BUF,-7.85,7.0,"[6.5, 4.0]",
NYG @ PHI,-2.05,3.0,"[6.0, 3.5]",
OAK @ GB,-12.18,10.0,"[10.5, 8.5]",GB
SD @ TEN,3.38,-1.0,"[0.5, -2.0]",SD
STL @ CIN,-9.87,10.0,"[13.5, 11.5]",
CAR @ JAC,-11.96,10.5,"[10.5, 8.5]",JAC
DAL @ DET,12.15,-10.5,"[-8.5, -10.5]",DAL
MIN @ SF,12.15,-8.5,"[-8.5, -10.5]",MIN
ARI @ SEA,-6.81,7.5,"[10.5, 8.5]",
CLE @ NYJ,3.2,-3.5,"[-4.5, -7.0]",
KC @ DEN,-2.29,7.5,"[6.0, 4.0]",
PIT @ NE,-10.82,10.5,"[9.5, 7.0]",
IND @ BAL,3.95,-9.0,"[-5.5, -7.5]",
NO @ ATL,2.32,-4.5,"[-4.0, -6.0]",ATL
