TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-2.0%,23,-0.7%,15,3-2,1.5%,20,3.7%,19,0.2%,15
ATL,-15.5%,27,-1.7%,17,0-5,-4.5%,22,8.9%,28,-2.1%,23
BAL,33.9%,3,21.2%,2,4-1,3.6%,17,-18.9%,3,11.4%,1
BUF,17.5%,10,7.1%,10,4-0,19.3%,5,4.0%,21,2.2%,10
CAR,0.1%,19,-8.8%,26,3-2,8.2%,7,6.4%,25,-1.8%,21
CHI,-7.4%,22,-4.1%,22,4-1,-14.7%,26,-9.7%,5,-2.5%,24
CIN,-21.1%,20,-16.4%,30,1-3-1,-24.2%,27,-0.8%,13,2.3%,9
CLE,-1.9%,12,-3.3%,20,4-1,5.6%,14,0.9%,16,-6.7%,31
DAL,-1.3%,16,-5.1%,23,2-3,6.6%,11,6.4%,26,-1.4%,18
DEN,-32.2%,31,-16.0%,29,1-3,-31.0%,30,-1.8%,11,-3.0%,26
DET,-11.5%,24,-2.2%,18,1-3,-4.9%,23,10.8%,30,4.2%,7
GB,23.7%,5,7.3%,9,4-0,31.0%,1,10.3%,29,3.0%,8
HOU,2.1%,21,0.1%,14,1-4,3.0%,18,1.6%,17,0.7%,14
IND,23.7%,4,13.1%,6,3-2,-9.2%,25,-24.3%,1,8.6%,2
JAX,-17.1%,15,-12.4%,27,1-4,7.1%,9,20.0%,32,-4.2%,28
KC,24.4%,2,22.2%,1,4-1,25.6%,2,-4.1%,9,-5.3%,30
LAC,-6.3%,18,-3.3%,19,1-4,0.2%,21,-1.1%,12,-7.6%,32
LAR,25.5%,11,12.7%,7,4-1,22.3%,4,-7.8%,8,-4.7%,29
LV,-3.5%,25,-3.7%,21,3-2,12.9%,6,15.4%,31,-1.0%,17
MIA,2.5%,26,-8.4%,25,2-3,5.3%,15,7.3%,27,4.6%,6
MIN,6.5%,13,1.4%,13,1-4,8.2%,8,0.0%,14,-1.7%,20
NE,-2.3%,17,-0.7%,16,2-2,2.4%,19,4.5%,22,-0.2%,16
NO,18.4%,8,19.9%,3,3-2,4.4%,16,-9.1%,6,4.8%,5
NYG,-28.5%,32,-14.0%,28,0-5,-34.2%,32,0.2%,15,5.9%,3
NYJ,-34.1%,29,-19.5%,31,0-5,-24.7%,28,6.0%,24,-3.4%,27
PHI,-30.0%,30,-6.7%,24,1-3-1,-26.5%,29,5.2%,23,1.7%,11
PIT,16.5%,7,11.5%,8,4-0,6.0%,12,-8.9%,7,1.6%,12
SEA,25.7%,6,14.4%,5,5-0,23.6%,3,3.6%,18,5.7%,4
SF,-1.8%,9,1.9%,11,2-3,-4.9%,24,-2.3%,10,0.9%,13
TB,26.4%,1,14.8%,4,3-2,7.1%,10,-20.8%,2,-1.4%,19
TEN,-1.1%,14,1.8%,12,3-0,5.7%,13,3.9%,20,-2.8%,25
WAS,-23.8%,28,-20.3%,32,1-4,-32.8%,31,-10.9%,4,-1.9%,22
