Game,EGO,Spread,Spread Target,Pick
CAR @ TB,-0.26,-3.0,"[-1.0, -3.5]",TB
CLE @ PIT,-10.08,14.0,"[14.0, 11.5]",CLE
DET @ GB,-12.57,14.0,"[16.5, 14.0]",DET
HOU @ CIN,-3.42,3.5,"[7.0, 5.0]",
KC @ WAS,-5.77,6.5,"[9.5, 7.5]",
NYG @ NO,-1.23,3.0,"[5.0, 2.5]",NYG
STL @ JAC,-12.24,9.5,"[10.5, 8.5]",JAC
BAL @ MIN,-2.77,3.0,"[6.5, 4.5]",
ARI @ SEA,-7.26,3.0,"[6.0, 3.5]",
PHI @ OAK,15.17,-14.0,"[-11.5, -13.5]",
BUF @ NYJ,-7.53,9.5,"[11.0, 9.0]",BUF
TEN @ NE,-9.54,9.0,"[8.0, 6.0]",
CHI @ ATL,-0.24,3.5,"[4.0, 1.5]",CHI
DEN @ SD,-0.1,3.5,"[4.0, 1.5]",DEN
