TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-10.6%,22,-14.2%,23,2-2,-1.5%,19,2.6%,16,-6.5%,30
ATL,13.9%,14,1.7%,16,3-1,20.4%,9,8.3%,18,1.8%,10
BAL,32.1%,3,27.7%,6,3-2,22.4%,7,-11.2%,5,-1.5%,15
BUF,-21.8%,24,-23.5%,27,1-4,-17.8%,27,0.7%,15,-3.3%,24
CAR,-44.2%,32,-25.9%,28,1-3,-30.0%,31,10.2%,20,-4.0%,26
CHI,2.7%,16,10.7%,10,3-1,-13.2%,25,-4.0%,11,11.9%,1
CIN,-2.6%,19,-3.4%,18,4-1,5.9%,15,-0.3%,14,-8.9%,32
CLE,-26.3%,27,-21.8%,26,1-4,-21.4%,30,15.2%,26,10.4%,2
DAL,13.5%,12,9.8%,11,3-2,27.9%,3,13.3%,25,-1.1%,14
DEN,31.8%,7,16.9%,8,5-0,17.2%,11,-20.1%,4,-5.6%,29
DET,-51.5%,30,-39.8%,31,1-4,-18.1%,28,28.3%,31,-5.1%,28
GB,19.9%,8,9.4%,13,2-2,19.4%,10,-4.6%,10,-4.1%,27
HOU,-9.1%,18,-8.9%,21,2-3,2.0%,18,17.1%,27,6.0%,5
IND,42.2%,4,40.4%,1,5-0,36.5%,1,-7.4%,8,-1.7%,16
JAC,6.8%,9,9.7%,12,2-3,15.8%,13,12.2%,24,3.2%,9
KC,-28.1%,26,-21.0%,25,0-5,-12.5%,24,19.8%,28,4.2%,7
MIA,2.1%,17,-3.7%,19,2-3,11.8%,14,8.0%,17,-1.7%,17
MIN,34.4%,6,30.2%,5,5-0,16.8%,12,-8.9%,7,8.7%,3
NE,15.7%,10,18.7%,7,3-2,25.4%,5,9.0%,19,-0.6%,13
NO,59.3%,1,32.7%,4,4-0,33.0%,2,-28.8%,2,-2.5%,20
NYG,45.3%,5,37.2%,2,5-0,21.7%,8,-26.9%,3,-3.2%,23
NYJ,8.4%,11,1.2%,17,3-2,-5.5%,20,-7.0%,9,6.9%,4
OAK,-60.3%,29,-47.5%,32,1-4,-45.8%,32,12.0%,22,-2.5%,19
PHI,56.9%,2,36.0%,3,3-1,22.8%,6,-30.6%,1,3.5%,8
PIT,12.6%,13,15.1%,9,3-2,26.0%,4,10.8%,21,-2.6%,21
SD,-13.1%,23,7.3%,15,2-2,5.2%,16,23.3%,29,5.0%,6
SEA,8.2%,21,9.2%,14,2-3,3.4%,17,-3.6%,12,1.2%,11
SF,-9.8%,15,-13.1%,22,3-2,-16.0%,26,-9.1%,6,-2.9%,22
STL,-50.0%,31,-37.8%,30,0-5,-21.2%,29,25.3%,30,-3.5%,25
TB,-43.3%,28,-34.8%,29,0-5,-11.1%,23,30.1%,32,-2.1%,18
TEN,-28.1%,25,-15.6%,24,0-5,-8.7%,22,12.1%,23,-7.4%,31
WAS,-3.5%,20,-4.6%,20,2-3,-7.2%,21,-3.4%,13,0.2%,12
