Opening Spread,Team 1,Team 2,Game Time,Betting Spread
PK / PK,GB,SF,8:20 PM ET,-5.5 / +5.5
-4.0 / +4.0,HOU,JAC,1:00 PM ET,-7.0 / +7.0
-4.0 / +4.0,BAL,IND,1:00 PM ET,-2.5 / +2.5
+3.5 / -3.5,DEN,ATL,1:00 PM ET,+4.0 / -4.0
+10.0 / -10.0,CAR,KC,1:00 PM ET,+10.5 / -10.5
+3.5 / -3.5,NYG,WAS,1:00 PM ET,+3.0 / -3.0
+2.5 / -2.5,DET,MIN,1:00 PM ET,+4.0 / -4.0
+6.5 / -6.5,CHI,TEN,1:00 PM ET,+5.5 / -5.5
-1.5 / +1.5,SEA,BUF,1:00 PM ET,-2.5 / +2.5
+2.5 / -2.5,LV,LAC,4:05 PM ET,+1.5 / -1.5
-13.5 / +13.5,PIT,DAL,4:25 PM ET,-13.5 / +13.5
+6.0 / -6.0,MIA,ARI,4:25 PM ET,+5.0 / -5.0
+4.5 / -4.5,NO,TB,8:20 PM ET,+5.5 / -5.5
-7.5 / +7.5,NE,NYJ,8:15 PM ET,-7.0 / +7.0
