Game,EGO,Spread,Spread Target,Pick
CLE @ CIN,-11.33,11.0,"[10.0, 7.5]",
JAC @ NYJ,-10.34,8.0,"[9.0, 6.5]",NYJ
MIA @ BUF,-4.94,3.0,"[3.5, 1.0]",BUF
OAK @ PIT,-1.87,4.5,"[5.5, 3.5]",OAK
STL @ MIN,2.7,1.0,"[1.0, -1.0]",STL
TEN @ NO,-4.38,7.5,"[8.0, 6.0]",TEN
WAS @ NE,-11.96,14.0,"[15.5, 13.5]",WAS
GB @ CAR,-0.88,-2.5,"[-0.5, -3.0]",CAR
ATL @ SF,5.26,-7.5,"[-7.0, -9.0]",SF
NYG @ TB,1.73,-1.0,"[2.0, -0.0]",
DEN @ IND,4.96,-5.5,"[-6.5, -8.5]",
PHI @ DAL,4.3,-3.0,"[-0.5, -3.0]",PHI
CHI @ SD,-4.31,4.5,"[8.0, 6.0]",
