Season,Game,Week,Day,Time,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2017,BAL @ PIT,14,Sun,8:30PM,24.1%,6.0,-1,5.0,-2.3999999999999986,-2.75,3.25,1.75,"[[6.5, 4.0], [1.0, -1.0]]",1,BAL,1
2017,CHI @ CIN,14,Sun,1:00PM,-20.5%,6.0,26,32.0,-21.1,-6.77,-0.7699999999999996,32.769999999999996,"[[10.5, 8.5], [5.5, 3.0]]",0,,0
2017,DAL @ NYG,14,Sun,1:00PM,6.0%,-4.0,20,16.0,31.1,4.76,0.7599999999999998,15.24,"[[-1.0, -3.5], [-6.5, -8.5]]",0,,1
2017,DET @ TB,14,Sun,1:00PM,-0.8%,0.0,3,3.0,17.099999999999998,1.57,1.57,1.43,"[[2.0, -0.0], [-3.0, -5.5]]",1,DET,1
2017,GB @ CLE,14,Sun,1:00PM,2.0%,-2.5,6,3.5,25.4,3.45,0.9500000000000002,2.55,"[[0.0, -2.0], [-5.0, -7.0]]",0,,1
2017,IND @ BUF,14,Sun,1:00PM,-20.2%,3.5,-6,-2.5,-3.3000000000000007,-2.94,0.56,-3.06,"[[6.5, 4.5], [1.5, -1.0]]",0,,0
2017,MIN @ CAR,14,Sun,1:00PM,22.9%,-2.5,-7,-9.5,12.799999999999999,0.61,-1.8900000000000001,-7.61,"[[3.0, 1.0], [-2.0, -4.5]]",1,CAR,1
2017,NE @ MIA,14,Mon,8:30PM,27.3%,-10.5,-7,-17.5,54.900000000000006,10.35,-0.15000000000000036,-17.35,"[[-6.5, -9.0], [-12.0, -14.0]]",0,,1
2017,NO @ ATL,14,Thu,8:25PM,31.8%,2.5,-3,-0.5,27.5,3.93,6.43,-6.93,"[[-0.0, -2.5], [-5.5, -7.5]]",0,,0
2017,NYJ @ DEN,14,Sun,4:05PM,-12.6%,-1.0,-23,-24.0,21.199999999999996,2.5,1.5,-25.5,"[[1.0, -1.0], [-4.0, -6.0]]",1,NYJ,0
2017,OAK @ KC,14,Sun,1:00PM,-4.6%,4.5,-11,-6.5,-5.8,-3.49,1.0099999999999998,-7.51,"[[7.0, 5.0], [2.0, -0.0]]",0,,0
2017,PHI @ LARM,14,Sun,4:25PM,34.7%,1.0,8,9.0,1.0,-2.0,-1.0,10.0,"[[5.5, 3.5], [0.5, -1.5]]",0,,0
2017,SEA @ JAC,14,Sun,4:25PM,13.6%,3.0,-6,-3.0,2.4000000000000004,-1.7,1.3,-4.3,"[[5.5, 3.0], [0.0, -2.0]]",1,SEA,0
2017,SF @ HOU,14,Sun,1:00PM,-23.0%,1.0,10,11.0,-14.7,-5.41,-4.41,15.41,"[[9.0, 7.0], [4.0, 1.5]]",0,,0
2017,TEN @ ARI,14,Sun,4:05PM,-6.0%,-2.5,-5,-7.5,-0.09999999999999964,-2.25,-4.75,-2.75,"[[6.0, 4.0], [1.0, -1.5]]",0,,1
2017,WAS @ LACH,14,Sun,4:05PM,-3.6%,6.0,-17,-11.0,-9.9,-4.38,1.62,-12.620000000000001,"[[8.0, 6.0], [3.0, 0.5]]",1,WAS,0
