Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+6.0 / -6.0,BAL,PIT,-,+6.0 / -6.0
+6.0 / -6.0,CHI,CIN,-,+6.0 / -6.0
-4.0 / 4.0,DAL,NYG,-,-4.0 / 4.0
+0.0 / -0.0,DET,TAM,-,+0.0 / -0.0
-2.5 / 2.5,GNB,CLE,-,-2.5 / 2.5
+3.5 / -3.5,IND,BUF,-,+3.5 / -3.5
-2.5 / 2.5,MIN,CAR,-,-2.5 / 2.5
+2.5 / -2.5,NOR,ATL,-,+2.5 / -2.5
-10.5 / 10.5,NWE,MIA,-,-10.5 / 10.5
-1.0 / 1.0,NYJ,DEN,-,-1.0 / 1.0
+4.5 / -4.5,OAK,KAN,-,+4.5 / -4.5
+1.0 / -1.0,PHI,LAR,-,+1.0 / -1.0
+3.0 / -3.0,SEA,JAX,-,+3.0 / -3.0
+1.0 / -1.0,SFO,HOU,-,+1.0 / -1.0
-2.5 / 2.5,TEN,ARI,-,-2.5 / 2.5
+6.0 / -6.0,WAS,LAC,-,+6.0 / -6.0
