Game,EGO,Spread,Spread Target,Pick
NO @ ATL,3.93,2.5,"[-0.0, -2.5]",
CHI @ CIN,-6.77,6.0,"[5.5, 3.0]",
DAL @ NYG,4.76,-4.0,"[-1.0, -3.5]",
DET @ TB,1.57,0.0,"[2.0, -0.0]",DET
GB @ CLE,3.45,-2.5,"[0.0, -2.0]",
IND @ BUF,-2.94,3.5,"[6.5, 4.5]",
MIN @ CAR,0.61,-2.5,"[-2.0, -4.5]",CAR
OAK @ KC,-3.49,4.5,"[7.0, 5.0]",
SF @ HOU,-5.41,1.0,"[4.0, 1.5]",
NYJ @ DEN,2.5,-1.0,"[1.0, -1.0]",NYJ
TEN @ ARI,-2.25,-2.5,"[1.0, -1.5]",
WAS @ LACH,-4.38,6.0,"[8.0, 6.0]",WAS
PHI @ LARM,-2.0,1.0,"[0.5, -1.5]",
SEA @ JAC,-1.7,3.0,"[5.5, 3.0]",SEA
BAL @ PIT,-2.75,6.0,"[6.5, 4.0]",BAL
NE @ MIA,10.35,-10.5,"[-6.5, -9.0]",
