TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-11.9%,23,-5.9%,20,5-7,-13.7%,25,-8.8%,6,-6.9%,30
ATL,4.3%,15,4.3%,13,7-5,14.4%,7,9.1%,24,-1.0%,20
BAL,23.0%,6,24.1%,6,7-5,-9.8%,23,-23.4%,1,9.4%,1
BUF,-11.2%,21,-16.9%,24,6-6,-16.2%,27,-0.4%,17,4.6%,7
CAR,10.7%,9,10.1%,10,8-4,-2.3%,19,-8.7%,7,4.3%,8
CHI,-20.4%,26,-20.5%,27,3-9,-18.3%,28,-1.7%,15,-3.8%,25
CIN,-2.9%,20,0.6%,16,5-7,-1.9%,18,0.7%,19,-0.3%,18
CLE,-27.0%,31,-23.4%,29,0-12,-22.3%,31,-0.8%,16,-5.4%,28
DAL,5.3%,17,6.0%,12,6-6,7.0%,11,9.5%,26,7.7%,3
DEN,-27.4%,27,-33.8%,32,3-9,-23.2%,32,-5.4%,10,-9.6%,31
DET,3.6%,12,-0.8%,17,6-6,2.4%,14,4.5%,20,5.7%,4
GB,4.4%,14,2.0%,14,6-6,4.4%,12,0.3%,18,0.3%,17
HOU,-5.1%,18,-8.3%,22,4-8,-3.5%,21,-1.8%,14,-3.3%,23
IND,-26.6%,30,-20.2%,26,3-9,-21.1%,30,9.3%,25,3.8%,9
JAC,14.5%,8,11.2%,9,8-4,-2.8%,20,-21.8%,2,-4.5%,27
KC,10.1%,10,1.2%,15,6-6,15.4%,3,10.8%,28,5.6%,6
LACH,2.0%,16,6.3%,11,6-6,8.9%,10,-3.0%,13,-9.9%,32
LARM,32.4%,1,33.7%,2,9-3,12.0%,8,-11.9%,4,8.5%,2
MIA,-27.3%,32,-27.6%,31,5-7,-20.1%,29,9.8%,27,2.5%,11
MIN,22.4%,5,22.9%,7,10-2,14.5%,6,-8.5%,8,-0.6%,19
NE,20.2%,7,27.3%,4,10-2,25.6%,2,11.0%,29,5.6%,5
NO,29.8%,3,31.8%,3,9-3,27.1%,1,-4.8%,11,-2.1%,22
NYG,-24.9%,28,-25.1%,30,2-10,-10.5%,24,8.3%,23,-6.1%,29
NYJ,-15.4%,25,-12.6%,23,5-7,-5.8%,22,7.9%,22,-1.6%,21
OAK,-5.4%,19,-4.6%,19,6-6,10.8%,9,17.3%,32,1.2%,13
PHI,32.4%,2,34.7%,1,10-2,15.2%,4,-14.0%,3,3.2%,10
PIT,26.5%,4,26.5%,5,10-2,14.9%,5,-10.6%,5,0.9%,15
SEA,10.9%,11,13.6%,8,8-4,3.4%,13,-7.0%,9,0.6%,16
SF,-24.4%,29,-23.0%,28,2-10,-14.8%,26,11.3%,30,1.7%,12
TB,-15.9%,24,-17.9%,25,4-8,1.3%,15,13.5%,31,-3.7%,24
TEN,-5.3%,22,-6.0%,21,8-4,0.9%,16,7.3%,21,1.1%,14
WAS,-0.1%,13,-3.6%,18,5-7,0.3%,17,-4.0%,12,-4.4%,26
