Game,EGO,Spread,Spread Target,Pick
NYJ @ DEN,6.49,-6.5,"[-3.0, -5.0]",
BUF @ MIA,-0.32,3.0,"[4.0, 2.0]",BUF
CAR @ DET,-6.86,7.0,"[10.5, 8.5]",
CIN @ BAL,-5.09,7.0,"[9.0, 6.5]",CIN
JAC @ CLE,-2.29,1.5,"[1.0, -1.5]",
TB @ GB,-11.56,13.5,"[15.5, 13.0]",TB
DAL @ WAS,5.01,-7.0,"[-6.5, -8.5]",WAS
OAK @ MIN,-1.74,2.0,"[5.5, 3.0]",
ARI @ SF,-11.14,10.0,"[9.5, 7.5]",
SEA @ STL,2.39,3.0,"[1.5, -1.0]",
TEN @ ATL,-3.82,6.5,"[7.5, 5.5]",TEN
SD @ CHI,-8.12,4.5,"[6.5, 4.5]",CHI
PHI @ NYG,-5.18,6.0,"[9.0, 6.5]",
KC @ NE,-10.98,17.0,"[14.5, 12.5]",
