TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-21.1%,30,-21.3%,30,3-6,-10.6%,26,14.8%,29,4.3%,4
ATL,13.9%,7,14.0%,11,5-4,5.6%,14,-6.9%,8,1.4%,11
BAL,19.7%,5,18.8%,8,6-3,2.4%,20,-23.3%,1,-6.0%,30
BUF,3.3%,10,1.0%,17,5-4,16.3%,7,12.1%,25,-1.0%,20
CAR,-15.1%,22,-14.2%,25,2-7,15.6%,8,21.0%,31,-9.8%,32
CHI,15.9%,13,17.6%,9,6-3,-2.9%,23,-9.0%,5,9.8%,2
CIN,5.3%,15,5.6%,16,6-3,3.7%,17,1.3%,13,2.9%,6
CLE,-16.1%,26,-14.7%,26,3-6,-12.0%,27,3.6%,14,-0.4%,17
DAL,14.4%,16,14.4%,10,5-4,12.9%,10,-2.5%,10,-0.9%,19
DEN,-11.1%,25,-10.3%,22,4-5,-3.1%,24,10.1%,19,2.1%,8
DET,8.3%,8,7.3%,14,6-3,0.5%,22,-12.8%,4,-5.1%,29
GB,31.3%,2,30.6%,2,9-0,38.3%,1,9.1%,18,2.1%,9
HOU,32.3%,3,33.8%,1,7-3,24.6%,4,-7.5%,6,0.2%,15
IND,-44.6%,32,-46.3%,32,0-10,-15.9%,29,21.6%,32,-7.1%,31
JAC,-15.9%,29,-15.0%,27,3-6,-26.9%,32,-12.9%,3,-1.9%,26
KC,-23.0%,28,-19.8%,29,4-5,-13.2%,28,11.2%,22,1.4%,10
MIA,-8.2%,23,-7.6%,19,2-7,3.1%,19,10.9%,21,-0.3%,16
MIN,-9.5%,18,-9.4%,20,2-7,4.8%,15,11.7%,24,-2.7%,28
NE,23.0%,9,21.5%,4,6-3,33.8%,2,11.6%,23,0.8%,12
NO,13.5%,12,12.5%,12,7-3,24.9%,3,10.3%,20,-1.0%,21
NYG,19.1%,6,21.2%,5,6-3,18.2%,6,-1.4%,11,-0.4%,18
NYJ,29.4%,1,28.3%,3,5-4,6.3%,13,-16.5%,2,6.7%,3
OAK,-5.8%,21,-7.2%,18,5-4,7.9%,12,12.1%,26,-1.6%,24
PHI,7.5%,14,7.6%,13,3-6,13.7%,9,6.4%,17,0.3%,14
PIT,19.3%,11,20.9%,6,7-3,18.9%,5,0.1%,12,0.6%,13
SD,-10.5%,20,-9.9%,21,4-5,4.2%,16,12.6%,27,-2.1%,27
SEA,-14.7%,27,-12.7%,23,3-6,-8.3%,25,4.9%,15,-1.4%,22
SF,21.3%,4,20.8%,7,8-1,3.2%,18,-7.5%,7,10.7%,1
STL,-33.8%,31,-33.4%,31,2-7,-18.2%,31,14.1%,28,-1.5%,23
TB,-11.9%,19,-13.5%,24,4-5,1.7%,21,17.4%,30,3.8%,5
TEN,9.1%,17,6.7%,15,5-4,11.8%,11,5.4%,16,2.6%,7
WAS,-15.4%,24,-17.8%,28,3-6,-16.5%,30,-2.7%,9,-1.6%,25
