Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
PIT,KAN,2006,6,1,-6.5,7.6,-13.1,-0.61,-7.11,69,59,-7.222433917,0.777298464,46,35,-7.963975541,0.945604672,25,62,-6.874820653,0.692084808,79,26,-9.632159934,0.966212666,37,94,-3.281994099,0.935178192,49,44,-5.301390205,-0.825551151,-35.27,-1,38,31.5,1
SDG,SFO,2006,6,0,-10,34.1,62,11.94,1.94,83,89,6.998760832,0.486726786,99,44,7.57296619,-0.966565262,67,44,7.481128198,-0.985957336,100,36,14.98571429,0.117444072,35,45,10.48298405,-0.583696911,100,50,17.29947368,0.191686703,41.24,1,29,19,1
SEA,STL,2006,6,0,-3,21.1,28.4,4.06,1.06,42,63,-4.268977813,-0.706063211,46,22,-0.68465465,-0.996903931,26,49,0.413522388,-0.473663742,87,27,-7.86002574,-0.029045729,41,52,-6.198685884,-0.956252234,47,65,-9.474157783,0.218501134,-7.67,-1,2,-1,-1
SFO,SDG,2006,6,1,10,-27.9,-62,-11.94,-1.94,44,99,-17.13339128,-0.47444373,89,83,-8.972885924,-0.321092903,36,100,-36.31976231,-0.699497113,44,67,110.9253659,0.604711098,50,100,-7.871386272,-0.259312426,45,35,-1.343601584,-0.204512533,16.41,1,-29,-19,-1
STL,SEA,2006,6,1,3,-7.3,-28.4,-4.06,-1.06,22,46,1.051100469,-0.284192977,63,42,0.058695652,0.05494973,27,87,11.92716407,0.865743455,49,26,-1.89722372,-0.47973284,65,47,-7.115976344,-0.93291812,52,41,-10.90640031,0.944268469,-11.28,-1,-2,1,1
TAM,CIN,2006,6,1,5,-17.5,-33.1,-5.13,-0.13,21,33,-4.733129357,0.809912936,86,42,-0.413333333,0.050462197,11,27,2.730727127,-0.999874289,9,28,1.137428571,-0.998725972,46,60,-1.19,0.543064531,82,48,0.440215054,0.890153162,-5.37,-1,1,6,1
TEN,WAS,2006,6,0,12,-36.5,-46.4,-11.95,0.05,17,84,-10.08289182,-0.475235999,100,11,19.2090122,-0.745295755,23,74,-6.682750234,-0.795955298,0,41,-5.273534845,-0.745302195,34,37,-5.445190583,-0.01804412,59,46,-9.726647815,0.655245454,-18.15,-1,3,15,1
WAS,TEN,2006,6,1,-12,9.9,46.4,11.95,-0.05,11,100,-20.05750163,-0.660034893,84,17,-3.731529223,-0.102134587,41,0,20.77577264,-0.798635299,74,23,1.556037169,-0.801352084,46,59,-16.43766867,-0.834189922,37,34,5.19,-0.5345747,5.23,-1,-3,-15,-1
ARI,OAK,2006,7,0,-3,-27.2,5.2,-1.13,-4.13,27,0,-13.8080458,0.82827344,47,0,-4.662665135,0.331875945,1,18,-3.290919111,0.249186378,58,27,3.085019422,-0.867424367,60,100,6.591782337,0.441794121,40,2,-10.22080288,0.876263654,-18.3,-1,-13,-16,-1
ATL,PIT,2006,7,1,3,9.5,2.6,2.83,5.83,40,53,5.79990785,-0.760001892,32,60,-26.74179342,-0.890229601,100,89,-8.035200337,-0.056592386,60,35,-12.0990334,-0.834602706,0,47,0.100140845,-0.548386958,58,43,9.351137725,-0.650306835,-20.98,-1,3,6,1
BUF,NWE,2006,7,1,5.5,-15.8,-25.7,-3.44,2.06,54,100,-12.04397023,-0.514431272,43,40,-4.02346727,-0.276145007,21,81,-2.320024263,0.20726044,50,43,-21.11432286,-0.484951452,26,38,-2.171140303,-0.147177672,50,47,-0.502857143,-0.165565283,-21.87,-1,-22,-16.5,-1
CAR,CIN,2006,7,0,3,7.4,-6.1,-3.59,-0.59,32,37,2.167166632,-0.27171928,74,40,-0.241272142,0.583430034,21,26,-0.694713938,0.216007037,52,18,0.109339112,-0.197749291,53,57,-2.324598789,0.816627564,52,55,-1.382774857,-0.898382263,-6.41,-1,-3,0,0
CIN,CAR,2006,7,1,-3,13.5,6.1,3.59,0.59,40,74,-7.401511002,-0.958059585,37,32,-5.309417389,0.217305252,18,52,-3.441539626,-0.304678214,26,21,-2.200414938,-0.584068743,55,52,-4.095675214,0.552154967,57,53,-59.702,-0.922114395,-64.3,-1,3,0,0
CLE,DEN,2006,7,1,4.5,-15.1,-27.1,-3.76,0.74,33,89,0.394071904,0.241787731,42,27,-1.232362805,0.134052434,5,65,0.684694325,0.584194064,24,45,22.46892857,0.69286163,41,59,-3.734031483,0.727217066,59,17,1.517531576,-0.61005323,10.35,1,-10,-5.5,-1
DAL,NYG,2006,7,1,-3,7.1,-3.7,1.46,-1.54,40,68,10.85702769,0.435976967,63,40,11.13290796,-0.951914961,51,53,5.723809524,-0.813207272,100,51,5.734530026,-0.27113091,49,48,14.60555062,0.258789848,45,77,3.067155164,-0.992494116,29.82,1,-14,-17,-1
DEN,CLE,2006,7,0,-4.5,12,27.1,3.76,-0.74,27,42,2.72371097,0.922193077,89,33,5.009086758,0.788920077,45,24,-0.267981615,0.94841581,65,5,-1.176233078,0.571664417,17,59,7.97948799,-0.658999813,59,41,7.436062802,0.703455921,19.79,1,10,5.5,1
DET,NYJ,2006,7,0,3.5,-15.3,11.4,0.23,3.73,21,47,0.616812984,-0.882764249,30,10,0.891586099,-0.62388707,3,22,2.608692241,-0.651467779,73,18,-5.756623711,-0.158962409,74,36,-5.930407319,-0.212052994,20,46,-3.157723137,-0.748696406,-1.51,1,-7,-3.5,-1
GNB,MIA,2006,7,0,5.5,-16.9,-4.7,-3.29,2.21,53,30,5.025873629,-0.76291593,89,43,-1.934135989,-0.775784944,13,74,4.481648236,0.642284546,65,15,1.690758294,-0.947434149,78,73,-8.249756848,-0.501519441,0,55,1.363028169,-0.353196152,-0.13,1,10,15.5,1
HOU,JAX,2006,7,1,8,-30.5,-47.9,-8.57,-0.57,27,84,-10.93493223,-0.569128306,47,40,-6.671036585,0.169621868,0,75,-8.711252088,-0.237755834,21,31,-6.833654321,-0.980248655,45,61,-7.505294118,0.633357509,2,48,-9.368986784,0.271524136,-31.99,-1,20,28,1
IND,WAS,2006,7,1,-8.5,15.5,9.8,4.38,-4.12,13,87,-3.911377148,-0.501746769,89,16,-4.617308448,0.707388759,27,56,3.841629195,0.658784733,0,38,-5.69207529,-0.347171156,75,38,-0.752757629,-0.515022841,83,46,2.1644,0.816382532,1.09,-1,14,5.5,1
JAX,HOU,2006,7,0,-8,17.4,47.9,8.57,0.57,40,47,19.70939891,-0.850125405,84,27,5.412463054,-0.137365137,31,21,6.748081532,-0.126445999,75,0,49.1259751,-0.794669601,48,2,24.19396095,-0.498081218,61,45,9.034625551,-0.41127534,81.73,1,-20,-28,-1
KAN,SDG,2006,7,1,5.5,17.3,-15.2,-1.08,4.42,27,100,21.29163743,0.678723574,63,100,-49.18545153,-0.431712115,15,95,-47.89827684,-0.97217638,38,55,-1.926828184,0.052445056,43,91,-11.92536585,-0.054733085,77,52,-2.293020731,0.109152407,-55.43,-1,3,8.5,1
MIA,GNB,2006,7,1,-5.5,-12.2,4.7,3.29,-2.21,43,89,-4.225075988,0.467071955,30,53,-9.510165975,-0.701709264,15,65,-6.264295818,-0.155747811,74,13,-5.771304904,0.061131699,55,0,-2.995648936,-0.370916906,73,78,9.498487691,0.87218238,0.49,-1,-10,-15.5,-1
MIN,SEA,2006,7,0,7,-6.2,-24.4,-7.46,-0.46,33,37,0.866049954,0.199685412,89,67,-0.402018009,-0.458460637,22,91,4.141773333,0.470246054,93,25,0.653966942,-0.348082311,61,26,2.197991344,-0.155279585,53,47,-0.042407407,0.895382098,-4.99,1,18,25,1
NWE,BUF,2006,7,0,-5.5,9.9,25.7,3.44,-2.06,40,43,8.42422201,-0.684010811,100,54,16.89807522,0.444098696,43,50,3.944700885,-0.558268485,81,21,7.354772727,-0.639518993,47,50,4.926171735,0.022905481,38,26,-6.941117965,0.753126124,18.5,1,22,16.5,1
NYG,DAL,2006,7,0,3,10.8,3.7,-1.46,1.54,40,63,9.378504514,0.372483814,68,40,9.412859316,-0.325923595,51,100,-13.58259527,-0.977658208,53,51,8.533692022,0.516660171,77,45,11.30546963,0.589557598,48,49,7.968103336,-0.072588081,3.47,1,14,17,1
NYJ,DET,2006,7,1,-3.5,-26.7,-11.4,-0.23,-3.73,10,30,7.051968912,-0.437622135,47,21,-2.975118162,0.055750258,18,73,-5.107227577,-0.383267224,22,3,11.76819149,-0.369857061,46,20,-2.796115806,0.02250456,36,74,-4.135238941,-0.099447466,4.61,1,7,3.5,1
OAK,ARI,2006,7,1,3,-32.4,-5.2,1.13,4.13,0,47,-2.291078306,-0.353737165,0,27,-1.133927973,-0.755592193,27,58,-5.062233473,-0.271066622,18,1,-5.249956236,0.030339605,2,40,-3.666185266,-0.191912639,100,60,-12.15045455,-0.675642107,-10.98,-1,13,16,1
PHI,TAM,2006,7,0,-6,30.4,45.2,7.93,1.93,88,79,-0.377466285,-0.058635031,61,20,-0.898637993,0.011747248,27,26,-8.864913875,0.543409383,63,13,5.340815924,-0.401372055,100,65,-6.795322296,-0.718400584,27,45,4.219391042,-0.346549999,1.8,-1,-2,-8,-1
PIT,ATL,2006,7,0,-3,6.9,-2.6,-2.83,-5.83,60,32,7.8612287,-0.072443066,53,40,8.87627963,-0.418710966,35,60,5.288417722,-0.310646931,89,100,-31.16546368,-0.43775955,43,58,-0.656155951,0.332510465,47,0,185.6505556,-0.868051702,150.39,1,-3,-6,-1
SDG,KAN,2006,7,0,-5.5,32.5,15.2,1.08,-4.42,100,63,2.592826623,0.566048837,100,27,16.37683071,-0.871213596,55,38,12.06571815,-0.880214338,95,15,2.879794118,0.265026751,52,77,3.359503414,-0.669345791,91,43,9.996215569,0.455420075,35,1,-3,-8.5,-1
SEA,MIN,2006,7,1,-7,18.2,24.4,7.46,0.46,67,89,-15.56665429,-0.799740196,37,33,-1.262478985,-0.803814952,25,93,-27.14643585,-0.938814176,91,22,-5.765621019,0.177513448,47,53,-2.650575401,-0.919149693,26,61,-5.530721966,0.028034913,-35.1,-1,-18,-25,-1
TAM,PHI,2006,7,1,6,-14.8,-45.2,-7.93,-1.93,20,61,0.668628792,0.041374957,79,88,0.464736842,-0.012635093,13,63,-3.279620253,-0.959622476,26,27,1.842834411,-0.852313442,45,27,1.492740657,-0.06155029,65,100,5.559989688,0.738429401,-5.28,1,2,8,1
WAS,IND,2006,7,0,8.5,5.7,-9.8,-4.38,4.12,16,89,-8.799154742,-0.389262589,87,13,-5.597999088,0.028629805,38,0,-3.434709335,-0.100468027,56,27,-3.242624945,-0.713008348,46,83,-15.78793886,-0.535268803,38,75,-8.539723648,-0.193612144,-20.73,-1,-14,-5.5,-1
ARI,GNB,2006,8,0,4,-20.7,-2.4,-2.79,1.21,44,87,7.577448375,0.803289467,48,67,1.29479648,0.592409065,0,73,-0.635362767,0.487527017,55,21,0.047737188,-0.679503416,51,0,-3.747632497,0.026572357,45,69,6.874399584,0.89785941,9.86,1,-17,-13,-1
ATL,CIN,2006,8,0,4.5,2.9,-6.5,-3.67,0.83,47,43,11.86612466,-0.784232175,43,47,-0.244874142,-0.653722512,100,40,-0.534862368,-0.095716035,70,21,1.081844232,-0.730031018,0,62,-5.927902736,-0.465287912,41,52,0.362046589,-0.644944445,3.69,1,2,6.5,1
BAL,NOR,2006,8,0,2,15,11,0.15,2.15,74,100,-5.02663939,-0.486062768,74,67,-0.19719546,0.097463156,18,48,-0.609083406,-0.042778437,100,27,-1.04580367,0.274552584,28,68,-4.130273003,0.884033795,74,71,-1.988793802,-0.0830692,-6.44,-1,13,15,1
CAR,DAL,2006,8,1,-5.5,7.4,-6.3,0.89,-4.61,32,48,0.395097512,-0.025918902,70,40,-0.18581384,0.513450474,19,88,0.929944203,0.2170922,53,46,-2.364928467,-0.350379756,48,57,-2.907245902,0.919158231,57,54,-0.446885705,-0.395253907,-2.67,-1,-21,-26.5,-1
CHI,SFO,2006,8,1,-16.5,39,65.1,15.61,-0.89,74,69,-3.314563368,-0.653640746,91,34,4.050991772,0.39045229,20,48,11.29308745,-0.176745742,96,32,11.7482282,0.191239062,59,33,11.32974468,-0.283991577,82,43,9.373642249,-0.217712188,24.53,1,31,14.5,1
CIN,ATL,2006,8,1,-4.5,9.4,6.5,3.67,-0.83,47,43,11.26218771,-0.833328429,43,47,0.383140535,0.181883313,21,70,-5.893304105,-0.396404166,40,100,-53.11858407,-0.646597195,52,41,-23.88215297,0.510335463,62,0,-14.53160861,0.280377313,-39.82,-1,-2,-6.5,-1
CLE,NYJ,2006,8,1,-1.5,-17.8,5.5,3.46,1.96,34,51,-1.969806646,-0.06325166,35,4,-2.423372268,0.052489373,1,24,-4.780123425,0.397503397,22,31,-2.425270821,-0.329858036,28,42,-5.74323455,0.382822629,66,38,-2.75091479,-0.33752708,-2.62,-1,7,5.5,1
DAL,CAR,2006,8,0,5.5,13.7,6.3,-0.89,4.61,40,70,4.139225201,0.389458358,48,32,8.120381005,-0.927159654,46,53,0.289039474,-0.811433585,88,19,15.05995705,-0.693731264,54,57,5.483927856,-0.002442461,57,48,8.935453417,-0.830017999,26.36,1,21,26.5,1
DEN,IND,2006,8,1,-3,12.3,-1.8,1.87,-1.13,47,96,10.0018034,0.738405546,87,14,0.437304921,0.627191721,49,7,-1.771316337,0.692125582,79,29,4.653246753,0.102047314,13,82,1.84128481,-0.83902835,73,81,17.18807261,0.542581987,19.65,1,-3,-6,-1
