Team,Spread
ARI,9.5
ATL,-7.5
BAL,-10
BUF,6.5
CAR,7
CHI,5
CIN,1
CLE,10
DAL,-3
DEN,-7
DET,7
GNB,4.5
HOU,-3
IND,-7
JAX,7.5
KAN,-5
LAC,-7
LAR,6.5
MIA,-1
MIN,-4.5
NOR,-3
NWE,-6.5
NYG,2.5
NYJ,3
OAK,7
PHI,3
PIT,-3
SEA,-9.5
SFO,-6.5
TAM,3
TEN,3
WAS,-2.5
