Game,EGO,Spread,Spread Target,Pick
MIA @ BAL,-8.22,3.0,"[6.5, 4.5]",
ATL @ NYJ,1.71,-6.5,"[-3.0, -5.5]",
CAR @ TB,0.21,1.5,"[3.5, 1.5]",CAR
CHI @ NO,-10.12,7.5,"[8.5, 6.5]",NO
IND @ CIN,-10.55,11.0,"[14.0, 12.0]",
LACH @ NE,-5.31,6.5,"[9.0, 7.0]",
OAK @ BUF,-4.08,2.0,"[2.5, 0.5]",BUF
SF @ PHI,-12.77,13.0,"[16.5, 14.5]",
HOU @ SEA,-2.42,6.0,"[6.0, 4.0]",HOU
DAL @ WAS,-2.81,-3.0,"[1.5, -1.0]",
PIT @ DET,3.25,-3.0,"[0.5, -2.0]",
MIN @ CLE,10.76,-11.0,"[-7.0, -9.5]",
DEN @ KC,-8.79,7.0,"[7.5, 5.0]",KC
