TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-28.6%,27,-26.4%,29,3-4,-15.6%,27,2.8%,20,-10.1%,31
ATL,-3.2%,17,-2.3%,20,3-3,13.7%,7,15.9%,27,-1.1%,20
BAL,6.5%,12,6.2%,15,3-4,-14.1%,26,-12.6%,5,8.0%,2
BUF,12.1%,9,7.4%,14,4-2,-2.7%,19,-10.8%,8,4.0%,8
CAR,3.6%,16,3.4%,17,4-3,-7.2%,21,-8.3%,12,2.5%,14
CHI,-23.3%,29,-21.6%,27,3-4,-22.0%,30,-7.0%,13,-8.3%,29
CIN,-0.5%,14,0.1%,18,2-4,-13.8%,25,-9.8%,11,3.5%,10
CLE,-40.1%,32,-38.1%,31,0-7,-31.1%,32,2.6%,19,-6.4%,26
DAL,8.5%,21,9.4%,12,3-3,17.7%,4,13.2%,26,3.9%,9
DEN,-5.9%,20,-6.4%,23,3-3,-7.5%,22,-13.0%,4,-11.4%,32
DET,10.7%,11,8.7%,13,3-3,-10.5%,23,-11.9%,7,9.2%,1
GB,4.4%,18,3.7%,16,4-3,4.7%,14,2.0%,18,1.7%,16
HOU,18.1%,5,12.6%,9,3-3,7.8%,12,-12.2%,6,-1.9%,22
IND,-41.7%,31,-39.1%,32,2-5,-28.8%,31,16.9%,30,4.0%,7
JAC,17.0%,10,14.4%,7,4-3,3.9%,15,-22.0%,1,-8.8%,30
KC,27.2%,1,24.3%,3,5-2,32.0%,1,11.2%,25,6.4%,5
LACH,-3.8%,22,-3.4%,21,3-4,0.2%,18,-3.0%,17,-7.0%,27
LARM,27.5%,4,25.4%,2,5-2,5.5%,13,-15.2%,3,6.8%,4
MIA,-25.5%,30,-21.8%,28,4-2,-20.0%,29,7.2%,22,1.7%,15
MIN,20.6%,8,18.5%,5,5-2,9.1%,11,-10.0%,10,1.5%,18
NE,9.1%,15,10.8%,11,5-2,25.7%,2,19.2%,31,2.6%,13
NO,21.1%,7,15.5%,6,4-2,20.3%,3,-3.9%,15,-3.1%,25
NYG,-20.6%,25,-18.4%,25,1-6,-5.6%,20,7.6%,24,-7.5%,28
NYJ,-20.4%,28,-20.0%,26,3-4,-13.6%,24,7.6%,23,0.7%,19
OAK,-2.0%,23,-1.1%,19,3-4,11.9%,9,16.9%,29,3.0%,11
PHI,23.1%,2,21.6%,4,6-1,12.9%,8,-3.3%,16,7.0%,3
PIT,34.7%,3,33.2%,1,5-2,17.0%,5,-19.5%,2,-1.8%,21
SEA,12.1%,13,13.5%,8,4-2,0.4%,17,-10.0%,9,1.7%,17
SF,-30.0%,26,-28.6%,30,0-7,-18.8%,28,15.9%,28,4.7%,6
TB,-8.2%,24,-7.6%,24,2-4,14.1%,6,19.8%,32,-2.5%,24
TEN,-2.9%,19,-3.5%,22,4-3,0.6%,16,6.1%,21,2.7%,12
WAS,15.2%,6,12.1%,10,3-3,10.7%,10,-6.9%,14,-2.4%,23
