TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,21.1%,8,21.4%,4,5-3,22.6%,2,1.1%,14,-0.5%,21
ATL,8.8%,16,7.9%,13,5-3,16.4%,7,9.3%,19,1.7%,13
BAL,20.1%,4,18.9%,6,5-3,2.7%,18,-20.3%,3,-2.9%,26
BUF,-3.7%,13,-5.6%,19,5-3,0.0%,20,6.1%,17,2.3%,9
CAR,15.5%,10,15.8%,8,6-2,9.8%,11,-5.8%,9,-0.1%,19
CHI,12.1%,9,11.2%,11,5-3,4.7%,16,-6.8%,8,0.6%,17
CIN,-36.8%,31,-36.6%,30,1-8,-19.1%,31,14.4%,23,-3.2%,27
CLE,-12.0%,25,-9.5%,22,3-5,-5.6%,24,14.1%,22,7.7%,1
DAL,-10.1%,20,-12.8%,25,5-4,4.1%,17,7.8%,18,-6.4%,29
DEN,-7.5%,22,-9.8%,23,4-4,13.5%,10,20.2%,28,-0.9%,23
DET,-34.1%,30,-32.7%,29,0-8,-10.5%,27,26.5%,32,2.8%,7
GB,15.2%,11,15.1%,10,4-4,9.5%,13,-3.7%,10,1.9%,11
HOU,-9.5%,24,-8.1%,20,3-5,9.8%,12,22.9%,30,3.7%,4
IND,6.8%,15,7.7%,14,4-4,13.8%,9,5.9%,16,-1.1%,24
JAC,-8.3%,19,-9.0%,21,3-5,6.5%,15,17.4%,26,2.5%,8
KC,-43.1%,32,-42.4%,32,1-7,-14.3%,28,22.3%,29,-6.5%,30
MIA,9.4%,12,10.6%,12,4-4,14.9%,8,-3.0%,11,-8.5%,31
MIN,2.7%,18,3.0%,16,4-4,-2.1%,23,-16.9%,4,-12.1%,32
NE,-9.5%,23,-10.2%,24,5-3,0.7%,19,15.8%,24,5.6%,2
NO,6.0%,14,5.6%,15,4-4,21.7%,3,16.2%,25,0.5%,18
NYG,42.7%,2,42.3%,1,7-1,25.0%,1,-15.5%,7,2.2%,10
NYJ,-1.7%,21,-2.9%,18,5-3,-1.5%,22,0.9%,13,0.7%,15
OAK,-32.3%,28,-31.4%,28,2-6,-23.4%,32,12.8%,21,3.9%,3
PHI,36.6%,1,35.4%,2,5-3,17.6%,5,-16.1%,6,2.9%,6
PIT,19.8%,7,19.1%,5,6-2,-6.8%,25,-26.9%,1,-0.3%,20
SD,1.8%,17,1.1%,17,3-5,18.3%,4,18.4%,27,1.9%,12
SEA,-18.7%,27,-16.3%,27,2-6,-7.5%,26,11.8%,20,0.6%,16
SF,-15.5%,26,-16.0%,26,2-6,-17.3%,30,1.2%,15,3.1%,5
STL,-38.7%,29,-36.7%,31,2-6,-15.7%,29,24.3%,31,1.3%,14
TB,15.4%,6,15.8%,7,6-3,-0.4%,21,-16.4%,5,-0.6%,22
TEN,27.0%,3,28.0%,3,8-0,6.6%,14,-21.8%,2,-1.4%,25
WAS,15.5%,5,15.6%,9,6-3,16.8%,6,-2.1%,12,-3.5%,28
