Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+2.5 / -2.5,BAL,HOU,-,+2.5 / -2.5
+3.5 / -3.5,BUF,NWE,-,+3.5 / -3.5
-9.5 / 9.5,CAR,OAK,-,-9.5 / 9.5
+3.0 / -3.0,DEN,CLE,-,+3.0 / -3.0
+2.5 / -2.5,GNB,MIN,-,+2.5 / -2.5
+3.5 / -3.5,IND,PIT,-,+3.5 / -3.5
-5.0 / 5.0,JAX,DET,-,-5.0 / 5.0
+14.5 / -14.5,KAN,SDG,-,+14.5 / -14.5
+1.5 / -1.5,NOR,ATL,-,+1.5 / -1.5
+1.5 / -1.5,NYG,PHI,-,+1.5 / -1.5
+7.5 / -7.5,SEA,MIA,-,+7.5 / -7.5
+9.5 / -9.5,SFO,ARI,-,+9.5 / -9.5
+9.5 / -9.5,STL,NYJ,-,+9.5 / -9.5
-3.0 / 3.0,TEN,CHI,-,-3.0 / 3.0
