Game,EGO,Spread,Spread Target,Pick
DEN @ CLE,-2.29,3.0,"[6.0, 4.0]",
BAL @ HOU,3.82,2.5,"[-0.0, -2.5]",
BUF @ NE,-1.21,3.5,"[5.0, 2.5]",BUF
JAC @ DET,3.06,-5.0,"[-4.5, -7.0]",DET
TEN @ CHI,1.51,-3.0,"[-3.0, -5.0]",CHI
NO @ ATL,-2.73,1.5,"[1.0, -1.0]",
SEA @ MIA,-7.99,7.5,"[6.5, 4.5]",
STL @ NYJ,-9.44,9.5,"[13.0, 11.0]",
GB @ MIN,0.45,2.5,"[3.0, 1.0]",GB
CAR @ OAK,8.51,-9.5,"[-10.0, -12.0]",
IND @ PIT,-4.7,3.5,"[3.0, 1.0]",
KC @ SD,-11.43,14.5,"[15.0, 13.0]",KC
NYG @ PHI,-0.7,1.5,"[4.5, 2.0]",
SF @ ARI,-10.18,9.5,"[8.5, 6.5]",
