Game,EGO,Spread,Spread Target,Pick
SEA @ ARI,5.68,-4.5,"[-2.0, -4.0]",
BUF @ MIA,0.5,6.5,"[3.0, 1.0]",
CIN @ DET,-0.9,1.5,"[4.5, 2.5]",
DAL @ PHI,-0.37,2.5,"[4.0, 2.0]",DAL
SD @ JAC,10.74,-7.0,"[-7.0, -9.0]",SD
TB @ ATL,-3.1,6.5,"[7.0, 4.5]",TB
NE @ NYJ,1.01,-3.0,"[-2.5, -4.5]",NYJ
STL @ CAR,-9.11,7.0,"[7.5, 5.5]",CAR
CHI @ WAS,5.03,-1.0,"[-1.5, -3.5]",
SF @ TEN,2.54,-3.0,"[-4.0, -6.0]",
BAL @ PIT,-2.0,2.5,"[5.5, 3.5]",
CLE @ GB,-8.5,9.5,"[12.0, 10.0]",
HOU @ KC,-10.34,6.0,"[9.0, 6.5]",
DEN @ IND,3.72,-6.0,"[-5.0, -7.5]",IND
MIN @ NYG,1.01,3.5,"[2.5, 0.5]",
