Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
HOU,2,2017,5.0,38.0,4,9.0,1,0,1,0,CIN,0.0,20.0,47.0,0.0,68.0,53.0,65.0,61.0,30.0,100.0,0.0,0.0,37.0,23.0,0.0,94.0,1,1,0,0.0,23.0,50.0,10.0,32.0,27.0,63.0,21.0,0.0,14.0,65.0,100.0,32.0,16.0,71.0,39.0,48.0,33.0,38.0,100.0,10.0,50.0,27.0,21.0,14.0,100.0
IND,2,2017,7.0,44.0,-3,4.0,1,1,0,0,ARI,0.0,0.0,26.0,31.0,46.0,32.0,0.0,44.0,12.0,75.0,10.0,60.0,26.0,82.0,17.0,17.0,0,0,0,0.0,34.0,90.0,10.0,12.0,6.0,77.0,70.0,21.0,63.0,30.0,28.0,32.0,31.0,55.0,23.0,62.0,22.0,35.0,88.0,10.0,90.0,6.0,70.0,63.0,28.0
JAX,2,2017,1.0,42.0,-21,-20.0,-1,1,0,0,TEN,100.0,80.0,53.0,32.0,100.0,47.0,39.0,35.0,70.0,0.0,100.0,100.0,77.0,63.0,6.0,100.0,0,0,0,0.0,36.0,90.0,20.0,53.0,39.0,63.0,52.0,42.0,60.0,29.0,42.0,42.0,49.0,48.0,50.0,78.0,35.0,48.0,50.0,20.0,90.0,39.0,52.0,60.0,42.0
KAN,2,2017,-4.0,46.5,7,3.0,1,1,0,0,PHI,100.0,70.0,53.0,100.0,61.0,100.0,57.0,48.0,93.0,62.0,30.0,70.0,97.0,43.0,100.0,43.0,0,0,0,100.0,68.0,80.0,40.0,10.0,15.0,63.0,81.0,57.0,78.0,63.0,63.0,74.0,48.0,74.0,86.0,89.0,58.0,74.0,25.0,40.0,80.0,15.0,81.0,78.0,63.0
LAR,2,2017,-3.0,46.5,-7,-10.0,-1,1,0,0,WAS,100.0,100.0,74.0,54.0,69.0,68.0,56.0,100.0,88.0,25.0,40.0,90.0,18.0,74.0,83.0,83.0,0,0,0,0.0,32.0,60.0,20.0,37.0,19.0,90.0,85.0,37.0,37.0,43.0,22.0,26.0,26.0,52.0,14.0,42.0,11.0,26.0,75.0,20.0,60.0,19.0,85.0,37.0,22.0
MIN,2,2017,8.5,43.0,-17,-8.5,-1,0,0,0,PIT,100.0,64.0,58.0,85.0,46.0,49.0,100.0,43.0,82.0,50.0,10.0,90.0,61.0,84.0,95.0,28.0,1,0,0,100.0,54.0,90.0,70.0,3.0,0.0,93.0,86.0,55.0,60.0,52.0,71.0,42.0,46.0,83.0,99.0,60.0,61.0,64.0,50.0,70.0,90.0,0.0,86.0,60.0,71.0
NOR,2,2017,5.5,55.0,-16,-10.5,-1,1,0,0,NWE,0.0,36.0,42.0,54.0,15.0,51.0,57.0,0.0,18.0,50.0,10.0,90.0,16.0,39.0,72.0,5.0,0,0,0,0.0,30.0,70.0,30.0,33.0,57.0,0.0,3.0,35.0,57.0,0.0,0.0,47.0,39.0,0.0,0.0,52.0,43.0,7.0,38.0,30.0,70.0,57.0,3.0,57.0,0.0
NWE,2,2017,-5.5,55.0,16,10.5,1,0,0,0,NOR,0.0,30.0,47.0,39.0,0.0,0.0,52.0,43.0,7.0,38.0,30.0,70.0,57.0,3.0,57.0,0.0,1,0,0,0.0,36.0,90.0,10.0,19.0,16.0,52.0,39.0,63.0,72.0,5.0,5.0,42.0,54.0,15.0,51.0,57.0,0.0,18.0,50.0,10.0,90.0,16.0,39.0,72.0,5.0
NYG,2,2017,-3.0,42.0,-14,-17.0,-1,1,0,0,DET,0.0,28.0,26.0,27.0,52.0,53.0,52.0,17.0,9.0,62.0,10.0,70.0,0.0,39.0,36.0,37.0,0,0,0,100.0,66.0,90.0,10.0,23.0,30.0,88.0,94.0,70.0,72.0,79.0,37.0,68.0,45.0,69.0,77.0,78.0,38.0,65.0,12.0,10.0,90.0,30.0,94.0,72.0,37.0
NYJ,2,2017,14.0,44.0,-25,-11.0,-1,0,0,0,OAK,0.0,38.0,32.0,18.0,49.0,57.0,44.0,27.0,0.0,62.0,20.0,90.0,2.0,0.0,27.0,55.0,1,0,0,100.0,64.0,80.0,10.0,37.0,48.0,47.0,61.0,71.0,58.0,58.0,40.0,58.0,52.0,51.0,50.0,65.0,22.0,52.0,50.0,10.0,80.0,48.0,61.0,58.0,40.0
OAK,2,2017,-14.0,44.0,25,11.0,1,1,0,0,NYJ,100.0,64.0,58.0,52.0,51.0,50.0,65.0,22.0,52.0,50.0,10.0,80.0,48.0,61.0,58.0,40.0,0,0,0,0.0,38.0,90.0,20.0,13.0,2.0,47.0,0.0,23.0,27.0,47.0,55.0,32.0,18.0,49.0,57.0,44.0,27.0,0.0,62.0,20.0,90.0,2.0,0.0,27.0,55.0
PHI,2,2017,4.0,46.5,-7,-3.0,-1,0,0,0,KAN,100.0,68.0,74.0,48.0,74.0,86.0,89.0,58.0,74.0,25.0,40.0,80.0,15.0,81.0,78.0,63.0,1,0,0,100.0,70.0,70.0,30.0,100.0,97.0,67.0,43.0,100.0,100.0,65.0,43.0,53.0,100.0,61.0,100.0,57.0,48.0,93.0,62.0,30.0,70.0,97.0,43.0,100.0,43.0
PIT,2,2017,-8.5,43.0,17,8.5,1,1,0,0,MIN,100.0,54.0,42.0,46.0,83.0,99.0,60.0,61.0,64.0,50.0,70.0,90.0,0.0,86.0,60.0,71.0,0,0,0,100.0,64.0,90.0,10.0,48.0,61.0,81.0,84.0,95.0,95.0,37.0,28.0,58.0,85.0,46.0,49.0,100.0,43.0,82.0,50.0,10.0,90.0,61.0,84.0,95.0,28.0
SEA,2,2017,-13.5,42.0,3,-10.5,-1,1,0,0,SFO,0.0,39.0,0.0,33.0,61.0,38.0,39.0,12.0,13.0,50.0,40.0,70.0,35.0,68.0,10.0,27.0,0,0,0,0.0,23.0,60.0,0.0,30.0,10.0,77.0,48.0,35.0,23.0,51.0,75.0,26.0,20.0,70.0,70.0,28.0,16.0,32.0,50.0,0.0,60.0,10.0,48.0,23.0,75.0
SFO,2,2017,13.5,42.0,-3,10.5,1,0,0,0,SEA,0.0,23.0,26.0,20.0,70.0,70.0,28.0,16.0,32.0,50.0,0.0,60.0,10.0,48.0,23.0,75.0,1,0,0,0.0,39.0,70.0,40.0,63.0,35.0,78.0,68.0,34.0,10.0,52.0,27.0,0.0,33.0,61.0,38.0,39.0,12.0,13.0,50.0,40.0,70.0,35.0,68.0,10.0,27.0
TEN,2,2017,-1.0,42.0,21,20.0,1,0,0,0,JAX,0.0,36.0,42.0,49.0,48.0,50.0,78.0,35.0,48.0,50.0,20.0,90.0,39.0,52.0,60.0,42.0,1,0,0,100.0,80.0,100.0,100.0,42.0,77.0,57.0,63.0,48.0,6.0,71.0,100.0,53.0,32.0,100.0,47.0,39.0,35.0,70.0,0.0,100.0,100.0,77.0,63.0,6.0,100.0
WAS,2,2017,3.0,46.5,7,10.0,1,0,0,0,LAR,0.0,32.0,26.0,26.0,52.0,14.0,42.0,11.0,26.0,75.0,20.0,60.0,19.0,85.0,37.0,22.0,1,0,0,100.0,100.0,90.0,40.0,0.0,18.0,75.0,74.0,75.0,83.0,89.0,83.0,74.0,54.0,69.0,68.0,56.0,100.0,88.0,25.0,40.0,90.0,18.0,74.0,83.0,83.0
ARI,3,2017,3.0,46.5,-11,-8.0,-1,1,0,0,DAL,50.0,37.0,28.0,42.0,79.0,18.0,58.0,29.0,77.0,83.0,33.0,73.0,14.0,64.0,76.0,53.0,0,0,0,50.0,37.0,91.0,33.0,26.0,33.0,39.0,48.0,36.0,60.0,42.0,66.0,48.0,31.0,71.0,56.0,52.0,27.0,74.0,50.0,33.0,91.0,33.0,48.0,60.0,66.0
