Game,EGO,Spread,Spread Target,Pick
ATL @ MIN,-2.9,1.5,"[1.5, -1.0]",MIN
BAL @ PHI,4.02,-4.0,"[-0.5, -2.5]",
CHI @ CAR,-1.19,4.0,"[5.0, 2.5]",CHI
CIN @ IND,-8.54,7.0,"[7.0, 5.0]",IND
CLE @ PIT,-5.43,-2.5,"[4.0, 1.5]",
DEN @ NE,-5.54,3.5,"[4.0, 2.0]",NE
DET @ JAX,-2.55,3.0,"[6.0, 4.0]",
NYJ @ MIA,-4.64,20.0,"[8.5, 6.0]",
GB @ TB,-3.86,-6.5,"[2.5, 0.0]",
LAR @ SF,0.16,-3.5,"[-1.5, -4.0]",SF
KC @ BUF,1.12,-20.0,"[-2.5, -5.0]",
