TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-25.7%,30,-25.9%,30,1-6,-9.2%,25,20.7%,30,4.3%,5
ATL,13.4%,14,13.5%,10,4-3,7.3%,13,-4.2%,6,1.8%,9
BAL,20.5%,6,20.5%,6,5-2,-4.0%,23,-29.8%,1,-5.2%,30
BUF,26.4%,4,26.1%,3,5-2,29.6%,3,2.2%,17,-1.1%,23
CAR,-9.9%,22,-9.8%,23,2-6,19.2%,6,21.0%,31,-8.1%,31
CHI,7.1%,15,7.5%,15,4-3,-3.9%,22,-1.0%,10,9.9%,1
CIN,10.8%,12,10.8%,14,5-2,4.1%,17,-2.9%,7,3.9%,6
CLE,-10.8%,25,-10.5%,24,3-4,-9.2%,26,0.8%,14,-0.8%,21
DAL,5.8%,9,5.9%,16,3-4,5.6%,15,-2.1%,8,-1.8%,26
DEN,-21.9%,26,-22.0%,28,2-5,-13.2%,28,9.4%,22,0.7%,11
DET,16.8%,13,16.8%,9,6-2,8.9%,11,-11.2%,3,-3.3%,28
GB,29.4%,1,29.5%,1,7-0,37.4%,1,8.0%,20,0.0%,13
HOU,21.7%,8,21.9%,5,5-3,18.5%,7,-1.0%,11,2.3%,8
IND,-40.0%,31,-40.3%,32,0-8,-5.8%,24,25.1%,32,-9.0%,32
JAC,-25.2%,28,-24.9%,29,2-6,-29.0%,32,-4.9%,5,-1.1%,24
KC,-9.3%,23,-8.6%,21,4-3,-10.4%,27,1.6%,16,2.8%,7
MIA,-19.8%,29,-19.9%,27,0-7,-2.9%,21,16.7%,28,-0.2%,16
MIN,-1.3%,20,-1.4%,19,2-6,7.2%,14,8.7%,21,0.2%,12
NE,17.5%,5,17.1%,8,5-2,33.8%,2,16.2%,27,-0.2%,15
NO,13.0%,7,12.7%,11,5-3,24.2%,4,10.4%,26,-0.7%,20
NYG,18.7%,10,18.8%,7,5-2,19.8%,5,-0.2%,12,-1.3%,25
NYJ,26.2%,2,26.5%,2,4-3,2.6%,20,-14.4%,2,9.2%,3
OAK,0.4%,18,0.0%,18,4-3,8.5%,12,9.4%,23,1.2%,10
PHI,11.4%,16,12.0%,12,3-4,18.2%,8,5.9%,18,-0.8%,22
PIT,11.5%,11,11.8%,13,6-2,12.9%,9,1.3%,15,-0.1%,14
SD,-8.8%,24,-9.0%,22,4-3,3.2%,19,9.9%,24,-2.1%,27
SEA,-18.6%,27,-18.6%,26,2-5,-14.4%,29,0.2%,13,-4.1%,29
SF,25.0%,3,25.2%,4,6-1,4.0%,18,-11.1%,4,9.9%,2
STL,-38.2%,32,-38.1%,31,1-6,-20.7%,31,17.1%,29,-0.4%,18
TB,-1.3%,19,-1.7%,20,4-3,4.2%,16,10.1%,25,4.6%,4
TEN,3.2%,17,2.4%,17,4-3,11.1%,10,7.7%,19,-0.2%,17
WAS,-14.5%,21,-15.0%,25,3-4,-15.3%,30,-1.4%,9,-0.6%,19
