TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-14.3%,28,-13.4%,26,3-3-1,1.9%,16,12.5%,28,-3.7%,30
ATL,-23.0%,25,-17.2%,27,1-6,-2.7%,20,15.2%,29,-5.1%,31
BAL,18.1%,9,14.9%,7,5-2,13.6%,6,0.8%,18,5.3%,3
BUF,-5.4%,21,-6.6%,22,5-1,-6.6%,23,-4.3%,12,-3.0%,28
CAR,13.1%,11,9.5%,11,4-2,-2.8%,21,-12.8%,3,3.1%,6
CHI,-1.8%,12,0.0%,17,3-3,-12.5%,25,-5.0%,6,5.7%,1
CIN,-38.3%,31,-31.4%,31,0-7,-25.3%,30,17.3%,31,4.3%,5
CLE,-14.5%,24,-9.3%,23,2-4,-14.1%,27,5.4%,23,4.9%,4
DAL,24.5%,5,19.8%,4,4-3,27.1%,1,2.5%,20,-0.1%,16
DEN,-8.9%,18,-9.4%,24,2-5,-11.6%,24,-8.9%,5,-6.2%,32
DET,7.3%,14,6.0%,13,2-3-1,4.6%,12,2.9%,21,5.5%,2
GB,21.7%,6,17.2%,5,6-1,17.4%,3,-4.7%,7,-0.4%,20
HOU,5.5%,13,6.1%,12,4-3,5.6%,10,1.1%,19,1.1%,13
IND,-2.7%,23,-3.6%,19,4-2,7.6%,9,8.0%,26,-2.2%,25
JAX,7.5%,17,3.2%,15,3-4,5.4%,11,0.4%,17,2.5%,7
KC,26.3%,3,14.2%,8,5-2,24.1%,2,-2.4%,13,-0.3%,19
LAC,-8.2%,22,-1.7%,18,2-5,2.4%,14,12.1%,27,1.5%,11
LAR,9.3%,15,10.8%,9,4-3,0.2%,17,-9.5%,4,-0.4%,21
MIA,-72.9%,32,-57.4%,32,0-6,-36.1%,31,35.5%,32,-1.4%,23
MIN,20.5%,4,15.9%,6,5-2,16.3%,5,-4.4%,11,-0.2%,17
NE,54.6%,1,45.0%,1,7-0,4.6%,13,-49.7%,1,0.3%,14
NO,17.2%,10,20.7%,3,6-1,10.6%,7,-4.6%,8,2.0%,9
NYG,-21.8%,26,-21.0%,28,2-5,-12.8%,26,6.1%,25,-2.8%,27
NYJ,-33.4%,29,-23.1%,29,1-5,-39.3%,32,-4.4%,10,1.5%,10
OAK,-3.7%,16,-4.7%,21,3-3,9.5%,8,15.6%,30,2.4%,8
PHI,2.9%,8,4.8%,14,3-4,-0.3%,18,-1.9%,15,1.3%,12
PIT,-0.9%,19,0.1%,16,2-4,-5.2%,22,-4.6%,9,-0.3%,18
SEA,10.3%,7,10.0%,10,5-2,17.0%,4,3.2%,22,-3.5%,29
SF,39.2%,2,25.2%,2,6-0,2.1%,15,-39.1%,2,-1.9%,24
TB,-0.1%,20,-4.4%,20,2-4,-0.4%,19,-1.4%,16,-1.1%,22
TEN,-15.3%,27,-10.3%,25,3-4,-14.8%,28,-2.2%,14,-2.7%,26
WAS,-27.7%,30,-25.2%,30,1-6,-21.9%,29,6.0%,24,0.2%,15
