Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+12.5 / -12.5,ARI,NOR,-,+12.5 / -12.5
+4.5 / -4.5,CAR,SFO,-,+4.5 / -4.5
+12.0 / -12.0,CIN,LAR,-,+12.0 / -12.0
+9.5 / -9.5,CLE,NWE,-,+9.5 / -9.5
+6.0 / -6.0,DEN,IND,-,+6.0 / -6.0
-5.0 / 5.0,GNB,KAN,-,-5.0 / 5.0
+3.5 / -3.5,LAC,CHI,-,+3.5 / -3.5
+14.0 / -14.0,MIA,PIT,-,+14.0 / -14.0
+6.5 / -6.5,NYG,DET,-,+6.5 / -6.5
+7.0 / -7.0,NYJ,JAX,-,+7.0 / -7.0
+5.0 / -5.0,OAK,HOU,-,+5.0 / -5.0
+1.0 / -1.0,PHI,BUF,-,+1.0 / -1.0
-7.5 / 7.5,SEA,ATL,-,-7.5 / 7.5
+2.0 / -2.0,TAM,TEN,-,+2.0 / -2.0
+16.5 / -16.5,WAS,MIN,-,+16.5 / -16.5
