Game,EGO,Spread,Spread Target,Pick
GB @ DET,1.37,-3.0,"[-3.0, -5.0]",DET
ARI @ STL,4.67,-4.5,"[-1.0, -3.0]",
HOU @ BUF,-4.4,3.5,"[3.0, 0.5]",
JAC @ TEN,-1.41,2.5,"[5.0, 3.0]",
SEA @ MIN,3.02,-1.5,"[0.5, -1.5]",SEA
SF @ CHI,-8.29,6.5,"[7.0, 4.5]",CHI
ATL @ TB,-4.08,1.0,"[2.5, 0.5]",TB
BAL @ MIA,-0.53,3.5,"[4.0, 2.0]",BAL
CIN @ CLE,10.28,-9.0,"[-6.5, -9.0]",CIN
NYJ @ NYG,1.6,-2.5,"[-3.0, -5.5]",
DEN @ SD,5.01,-3.5,"[-1.5, -3.5]",DEN
KC @ OAK,3.98,-3.0,"[-0.5, -2.5]",
CAR @ NO,9.99,-6.5,"[-6.5, -8.5]",CAR
PHI @ NE,-10.94,8.0,"[9.5, 7.0]",NE
IND @ PIT,-6.41,7.5,"[10.0, 8.0]",
DAL @ WAS,-5.58,3.5,"[4.0, 2.0]",WAS
