Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-4.5 / 4.5,ARI,STL,-,-4.5 / 4.5
+1.0 / -1.0,ATL,TAM,-,+1.0 / -1.0
+3.5 / -3.5,BAL,MIA,-,+3.5 / -3.5
-6.5 / 6.5,CAR,NOR,-,-6.5 / 6.5
-9.0 / 9.0,CIN,CLE,-,-9.0 / 9.0
+3.5 / -3.5,DAL,WAS,-,+3.5 / -3.5
-3.5 / 3.5,DEN,SDG,-,-3.5 / 3.5
-3.0 / 3.0,GNB,DET,-,-3.0 / 3.0
+3.5 / -3.5,HOU,BUF,-,+3.5 / -3.5
+7.5 / -7.5,IND,PIT,-,+7.5 / -7.5
+2.5 / -2.5,JAX,TEN,-,+2.5 / -2.5
-3.0 / 3.0,KAN,OAK,-,-3.0 / 3.0
-2.5 / 2.5,NYJ,NYG,-,-2.5 / 2.5
+8.0 / -8.0,PHI,NWE,-,+8.0 / -8.0
-1.5 / 1.5,SEA,MIN,-,-1.5 / 1.5
+6.5 / -6.5,SFO,CHI,-,+6.5 / -6.5
