TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-34.5%,32,-34.9%,32,3-9,-37.4%,32,-2.7%,12,0.2%,15
ATL,-7.9%,22,-6.3%,19,4-8,7.2%,11,16.9%,32,1.8%,10
BAL,13.9%,8,10.9%,10,7-5,-1.0%,16,-12.2%,4,2.8%,7
BUF,-25.2%,30,-18.0%,28,4-8,-36.4%,31,-13.1%,3,-1.9%,23
CAR,2.5%,15,1.5%,15,6-6,9.1%,8,6.4%,27,-0.2%,17
CHI,14.6%,5,13.4%,8,8-4,-3.3%,20,-22.0%,1,-4.1%,29
CIN,-11.0%,19,-14.5%,25,5-7,-0.6%,15,10.7%,28,0.3%,14
CLE,-10.8%,23,-8.6%,21,4-7-1,-10.6%,25,-5.2%,10,-5.4%,32
DAL,-2.0%,21,0.8%,16,7-5,-8.4%,23,-7.4%,7,-1.0%,21
DEN,21.4%,6,23.9%,5,6-6,8.9%,9,-13.7%,2,-1.2%,22
DET,-23.5%,29,-15.9%,26,4-8,-8.6%,24,14.1%,29,-0.8%,20
GB,6.9%,10,7.2%,13,4-7-1,13.7%,7,4.7%,23,-2.1%,24
HOU,7.2%,12,7.9%,12,9-3,-4.3%,21,-8.7%,6,2.8%,8
IND,5.9%,13,9.8%,11,6-6,1.5%,13,-3.6%,11,0.8%,12
JAX,-1.9%,16,-4.0%,18,4-8,-16.2%,28,-11.3%,5,3.0%,6
KC,39.9%,1,38.6%,1,10-2,39.0%,1,6.4%,26,7.3%,1
LAC,28.1%,4,31.2%,2,9-3,27.7%,3,-5.2%,9,-4.8%,31
LAR,29.5%,2,27.8%,3,11-1,27.9%,2,-1.4%,15,0.2%,16
MIA,-8.1%,18,-11.4%,23,6-6,-7.8%,22,4.6%,22,4.3%,5
MIN,0.9%,14,2.3%,14,6-5-1,-1.8%,17,-6.0%,8,-3.2%,26
NE,14.4%,9,15.4%,7,9-3,14.8%,6,0.2%,17,-0.2%,18
NO,22.6%,3,27.3%,4,10-2,19.5%,4,-1.6%,13,1.5%,11
NYG,-1.1%,20,0.1%,17,4-8,0.0%,14,5.4%,24,4.3%,4
NYJ,-19.6%,27,-26.6%,30,3-9,-26.0%,30,0.2%,18,6.7%,2
OAK,-23.7%,31,-24.9%,29,2-10,-2.8%,18,16.4%,31,-4.5%,30
PHI,-6.5%,24,-7.3%,20,6-6,-3.3%,19,2.8%,21,-0.4%,19
PIT,14.6%,7,16.9%,6,7-4-1,16.6%,5,-1.5%,14,-3.5%,27
SEA,11.2%,11,12.9%,9,7-5,8.6%,10,-0.2%,16,2.4%,9
SF,-27.6%,28,-28.3%,31,2-10,-17.7%,29,6.3%,25,-3.6%,28
TB,-14.9%,26,-16.0%,27,5-7,3.9%,12,16.3%,30,-2.6%,25
TEN,-12.8%,25,-11.6%,24,6-6,-11.1%,26,2.3%,20,0.7%,13
WAS,-10.4%,17,-11.1%,22,6-6,-13.2%,27,1.7%,19,4.4%,3
