Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+4.0 / -4.0,ATL,GNB,-,+4.0 / -4.0
+6.5 / -6.5,BAL,KAN,-,+6.5 / -6.5
-1.0 / 1.0,CAR,CLE,-,-1.0 / 1.0
+17.0 / -17.0,CIN,LAC,-,+17.0 / -17.0
-3.0 / 3.0,DEN,SFO,-,-3.0 / 3.0
-2.5 / 2.5,DET,ARI,-,-2.5 / 2.5
+4.0 / -4.0,IND,HOU,-,+4.0 / -4.0
+5.5 / -5.5,JAX,TEN,-,+5.5 / -5.5
-3.0 / 3.0,LAR,CHI,-,-3.0 / 3.0
+3.0 / -3.0,MIN,SEA,-,+3.0 / -3.0
-10.0 / 10.0,NOR,TAM,-,-10.0 / 10.0
-9.5 / 9.5,NWE,MIA,-,-9.5 / 9.5
-3.0 / 3.0,NYG,WAS,-,-3.0 / 3.0
+4.5 / -4.5,NYJ,BUF,-,+4.5 / -4.5
+3.5 / -3.5,PHI,DAL,-,+3.5 / -3.5
-10.5 / 10.5,PIT,OAK,-,-10.5 / 10.5
