Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,PIT,6,Sun,October 18,1:04PM,0,boxscore,13,25,310,0,469,3,36.2%,-3.5
ATL,NO,6,Thu,October 15,8:26PM,0,boxscore,21,31,385,0,413,3,7.2%,-3.0
BAL,SF,6,Sun,October 18,4:25PM,0,boxscore,20,25,391,0,420,2,1.8%,-2.0
BUF,CIN,6,Sun,October 18,1:02PM,1,boxscore,21,34,355,0,368,1,9.5%,3.0
CAR,SEA,6,Sun,October 18,4:06PM,0,boxscore,27,23,383,2,334,0,4.7%,7.0
CHI,DET,6,Sun,October 18,1:02PM,0,boxscore,34,37,546,3,444,1,-24.3%,3.0
CIN,BUF,6,Sun,October 18,1:02PM,0,boxscore,34,21,355,0,368,1,25.1%,-3.0
CLE,DEN,6,Sun,October 18,1:02PM,1,boxscore,23,26,442,3,298,3,-8.0%,3.5
DEN,CLE,6,Sun,October 18,1:02PM,0,boxscore,26,23,442,3,298,3,12.2%,-3.5
DET,CHI,6,Sun,October 18,1:02PM,1,boxscore,37,34,546,3,444,1,-18.7%,-3.0
GB,SD,6,Sun,October 18,4:25PM,1,boxscore,27,20,370,0,548,1,32.5%,-10.5
HOU,JAC,6,Sun,October 18,1:02PM,0,boxscore,31,20,382,0,394,3,-28.2%,2.5
IND,NE,6,Sun,October 18,8:30PM,1,boxscore,27,34,417,1,409,0,-6.6%,9.5
JAC,HOU,6,Sun,October 18,1:02PM,1,boxscore,20,31,382,0,394,3,-17.0%,-2.5
KC,MIN,6,Sun,October 18,1:02PM,0,boxscore,10,16,321,2,328,1,-8.7%,3.5
MIA,TEN,6,Sun,October 18,1:03PM,0,boxscore,38,10,434,2,299,4,-18.9%,2.0
MIN,KC,6,Sun,October 18,1:02PM,1,boxscore,16,10,321,2,328,1,-4.2%,-3.5
NE,IND,6,Sun,October 18,8:30PM,0,boxscore,34,27,417,1,409,0,41.3%,-9.5
NO,ATL,6,Thu,October 15,8:26PM,1,boxscore,31,21,385,0,413,3,-12.9%,3.0
NYG,PHI,6,Mon,October 19,8:30PM,0,boxscore,7,27,428,4,247,3,10.4%,5.0
NYJ,WAS,6,Sun,October 18,1:02PM,1,boxscore,34,20,474,3,225,2,9.3%,-7.0
PHI,NYG,6,Mon,October 19,8:30PM,1,boxscore,27,7,428,4,247,3,7.7%,-5.0
PIT,ARI,6,Sun,October 18,1:04PM,1,boxscore,25,13,310,0,469,3,14.6%,3.5
SD,GB,6,Sun,October 18,4:25PM,0,boxscore,20,27,370,0,548,1,-4.8%,10.5
SEA,CAR,6,Sun,October 18,4:06PM,1,boxscore,23,27,383,2,334,0,15.3%,-7.0
SF,BAL,6,Sun,October 18,4:25PM,1,boxscore,25,20,391,0,420,2,-31.3%,2.0
TEN,MIA,6,Sun,October 18,1:03PM,1,boxscore,10,38,434,2,299,4,-4.1%,-2.0
WAS,NYJ,6,Sun,October 18,1:02PM,0,boxscore,20,34,474,3,225,2,-3.0%,7.0
