Game,EGO,Spread,Spread Target,Pick
ATL @ NO,2.25,-3.0,"[-4.0, -6.0]",
CHI @ DET,-3.45,3.0,"[2.0, -0.0]",
CIN @ BUF,1.23,-3.0,"[-2.5, -5.0]",BUF
DEN @ CLE,2.27,-3.5,"[-4.0, -6.0]",
HOU @ JAC,-4.66,2.5,"[3.0, 1.0]",JAC
KC @ MIN,-3.2,3.5,"[7.0, 4.5]",
WAS @ NYJ,-4.9,7.0,"[8.5, 6.5]",WAS
MIA @ TEN,-5.43,2.0,"[4.0, 1.5]",TEN
ARI @ PIT,2.59,-3.5,"[-4.0, -6.5]",
CAR @ SEA,-4.53,7.0,"[8.0, 6.0]",CAR
BAL @ SF,5.22,-2.0,"[-1.5, -3.5]",BAL
SD @ GB,-10.16,10.5,"[14.0, 11.5]",
NE @ IND,8.68,-9.5,"[-10.0, -12.5]",
NYG @ PHI,-1.63,5.0,"[5.5, 3.0]",NYG
