Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-3.5 / 3.5,ARI,PIT,-,-3.5 / 3.5
-3.0 / 3.0,ATL,NOR,-,-3.0 / 3.0
-2.0 / 2.0,BAL,SFO,-,-2.0 / 2.0
+7.0 / -7.0,CAR,SEA,-,+7.0 / -7.0
+3.0 / -3.0,CHI,DET,-,+3.0 / -3.0
-3.0 / 3.0,CIN,BUF,-,-3.0 / 3.0
-3.5 / 3.5,DEN,CLE,-,-3.5 / 3.5
+2.5 / -2.5,HOU,JAX,-,+2.5 / -2.5
+3.5 / -3.5,KAN,MIN,-,+3.5 / -3.5
+2.0 / -2.0,MIA,TEN,-,+2.0 / -2.0
-9.5 / 9.5,NWE,IND,-,-9.5 / 9.5
+5.0 / -5.0,NYG,PHI,-,+5.0 / -5.0
+10.5 / -10.5,SDG,GNB,-,+10.5 / -10.5
+7.0 / -7.0,WAS,NYJ,-,+7.0 / -7.0
