TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,17.9%,8,20.4%,8,7-4,16.2%,10,1.1%,16,2.8%,9
ATL,-1.3%,17,-2.8%,19,6-5,9.8%,17,11.1%,25,0.0%,19
BAL,27.2%,6,25.4%,7,6-5,17.0%,9,-9.5%,4,0.7%,16
BUF,-15.1%,26,-14.9%,24,4-7,-18.8%,28,-2.2%,11,1.5%,13
CAR,-10.9%,21,-6.9%,21,4-7,-8.6%,20,-1.7%,12,-3.9%,29
CHI,-20.9%,24,-23.3%,26,4-7,-18.5%,27,8.4%,21,6.0%,3
CIN,8.9%,15,10.7%,13,8-3,11.7%,14,2.0%,17,-0.9%,22
CLE,-37.8%,31,-39.4%,31,1-10,-25.9%,31,19.1%,30,7.2%,2
DAL,18.4%,9,19.7%,9,8-3,22.3%,4,6.8%,18,2.9%,8
DEN,12.1%,16,9.3%,14,7-4,6.5%,19,-7.6%,8,-2.0%,24
DET,-51.2%,32,-51.9%,32,2-9,-24.7%,30,22.6%,32,-4.0%,30
GB,26.6%,7,27.3%,6,7-4,18.1%,8,-16.4%,1,-7.9%,32
HOU,12.9%,14,15.8%,11,5-6,19.5%,5,10.0%,24,3.4%,7
IND,31.8%,2,31.0%,3,11-0,26.8%,3,-4.8%,9,0.2%,18
JAC,-3.1%,18,-6.7%,20,6-5,12.3%,13,14.4%,28,-1.0%,23
KC,-30.0%,27,-30.1%,28,3-8,-21.2%,29,12.5%,26,3.6%,6
MIA,4.9%,12,5.2%,16,5-6,10.2%,16,9.2%,23,3.8%,5
MIN,29.7%,5,30.2%,4,10-1,19.3%,6,-2.6%,10,7.8%,1
NE,31.3%,1,32.5%,2,7-4,29.9%,2,0.0%,15,1.5%,14
NO,38.2%,3,36.8%,1,11-0,31.1%,1,-9.2%,5,-2.1%,25
NYG,9.8%,11,7.5%,15,6-5,10.7%,15,-1.5%,13,-2.4%,27
NYJ,4.2%,19,1.6%,17,5-6,-10.8%,23,-13.1%,2,1.9%,10
OAK,-37.9%,29,-36.6%,30,3-8,-29.3%,32,9.0%,22,0.4%,17
PHI,30.6%,4,28.6%,5,7-4,14.0%,12,-11.0%,3,5.7%,4
PIT,17.9%,10,18.8%,10,6-5,15.8%,11,-8.4%,6,-6.3%,31
SD,11.6%,13,14.9%,12,8-3,18.7%,7,7.1%,19,-0.1%,20
SEA,-16.9%,25,-17.9%,25,4-7,-10.4%,22,8.1%,20,1.6%,12
SF,-1.6%,20,-2.5%,18,5-6,-10.0%,21,-7.6%,7,0.8%,15
STL,-37.9%,30,-36.5%,29,1-10,-14.0%,25,21.6%,31,-2.2%,26
TB,-29.5%,28,-28.7%,27,1-10,-15.2%,26,16.0%,29,1.7%,11
TEN,-10.5%,23,-8.6%,22,5-6,6.9%,18,14.3%,27,-3.1%,28
WAS,-10.3%,22,-9.2%,23,3-8,-10.9%,24,-1.3%,14,-0.7%,21
