Game,EGO,Spread,Spread Target,Pick
NYJ @ BUF,1.44,-3.5,"[-3.0, -5.0]",BUF
DEN @ KC,6.67,-6.0,"[-3.0, -5.0]",
DET @ CIN,-15.24,13.5,"[13.5, 11.5]",CIN
NE @ MIA,3.88,-5.0,"[-5.5, -7.5]",
OAK @ PIT,-13.81,15.0,"[17.5, 15.5]",
STL @ CHI,-5.09,9.0,"[9.0, 6.5]",STL
HOU @ JAC,2.79,-1.5,"[1.0, -1.5]",HOU
NO @ WAS,8.22,-8.0,"[-4.5, -6.5]",
PHI @ ATL,4.83,-4.0,"[-1.0, -3.5]",
TB @ CAR,-6.92,3.5,"[5.5, 3.0]",CAR
TEN @ IND,-10.63,6.0,"[9.0, 7.0]",
SD @ CLE,10.21,-13.5,"[-11.5, -14.0]",CLE
DAL @ NYG,0.47,-1.5,"[-2.0, -4.0]",
SF @ SEA,1.19,-1.0,"[2.5, 0.5]",
MIN @ ARI,-0.06,-3.0,"[-1.5, -3.5]",ARI
BAL @ GB,-2.64,4.0,"[6.5, 4.0]",BAL
