TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-7.9%,21,-8.7%,22,4-7,-23.8%,31,-16.5%,3,-0.6%,21
ATL,2.9%,12,-0.4%,17,10-1,4.0%,14,1.1%,16,0.1%,17
BAL,13.7%,9,12.6%,9,9-2,4.6%,13,2.7%,22,11.8%,1
BUF,-9.8%,22,-8.9%,23,4-7,-2.0%,18,11.6%,27,3.8%,7
CAR,-4.4%,19,-4.2%,19,3-8,0.0%,17,-3.6%,9,-8.0%,31
CHI,24.9%,6,25.1%,5,8-3,-15.2%,26,-33.8%,1,6.3%,3
CIN,4.6%,17,7.9%,10,6-5,7.3%,12,6.0%,24,3.3%,9
CLE,-13.1%,26,-11.4%,25,3-8,-18.9%,30,-0.6%,14,5.3%,5
DAL,0.9%,11,1.1%,15,5-6,2.4%,15,1.9%,19,0.4%,14
DEN,35.0%,3,36.1%,3,8-3,17.7%,3,-15.6%,5,1.8%,11
DET,4.0%,15,5.0%,11,4-7,15.3%,4,6.1%,25,-5.1%,28
GB,23.7%,5,21.6%,6,7-4,15.0%,5,-7.5%,7,1.3%,12
HOU,14.9%,7,12.8%,8,10-1,8.1%,11,-14.8%,6,-8.0%,32
IND,-22.0%,28,-22.1%,27,7-4,0.6%,16,20.0%,32,-2.6%,24
JAC,-33.0%,30,-33.0%,30,2-9,-18.7%,29,13.5%,28,-0.8%,22
KC,-38.3%,32,-36.8%,31,1-10,-27.4%,32,10.7%,26,-0.1%,18
MIA,-5.6%,23,-7.6%,21,5-6,-10.1%,23,-2.6%,12,1.8%,10
MIN,-0.8%,16,-3.2%,18,6-5,-3.7%,20,2.3%,20,5.2%,6
NE,40.0%,2,41.7%,1,8-3,35.2%,1,2.7%,21,7.5%,2
NO,0.3%,14,1.8%,14,5-6,13.9%,6,17.2%,30,3.6%,8
NYG,18.2%,8,18.1%,7,7-4,11.9%,7,-5.6%,8,0.7%,13
NYJ,-14.0%,24,-13.1%,26,4-7,-16.7%,28,-2.6%,13,0.2%,15
OAK,-37.7%,31,-38.3%,32,3-8,-13.7%,25,17.2%,31,-6.8%,30
PHI,-22.0%,27,-24.5%,28,3-8,-15.3%,27,4.0%,23,-2.6%,25
PIT,-1.3%,10,0.2%,16,6-5,-3.6%,19,-2.9%,10,-0.6%,20
SD,-10.9%,25,-9.7%,24,4-7,-9.3%,22,1.7%,18,0.1%,16
SEA,30.7%,4,32.1%,4,6-5,9.2%,8,-15.7%,4,5.8%,4
SF,40.1%,1,40.1%,2,8-2-1,23.0%,2,-17.7%,2,-0.6%,19
STL,-6.1%,20,-6.6%,20,4-6-1,-5.6%,21,-2.7%,11,-3.1%,26
TB,2.9%,13,4.1%,12,6-5,8.8%,10,1.0%,15,-4.9%,27
TEN,-28.9%,29,-28.8%,29,4-7,-12.9%,24,15.0%,29,-1.0%,23
WAS,2.5%,18,3.3%,13,5-6,9.0%,9,1.4%,17,-5.1%,29
