Game,EGO,Spread,Spread Target,Pick
CHI @ GB,-5.5,7.5,"[9.0, 7.0]",CHI
BUF @ MIA,3.22,-2.5,"[0.5, -1.5]",
CLE @ CIN,-6.2,11.0,"[10.0, 7.5]",
IND @ TEN,-5.64,4.0,"[4.0, 2.0]",TEN
MIN @ PHI,0.47,-3.0,"[-2.0, -4.0]",PHI
OAK @ JAC,-0.37,2.0,"[4.0, 2.0]",OAK
WAS @ DET,1.76,-1.0,"[2.0, -0.5]",
NO @ KC,-5.18,7.0,"[9.0, 6.5]",NO
BAL @ NYJ,5.61,2.5,"[-2.0, -4.0]",
SD @ ATL,-4.08,4.5,"[8.0, 5.5]",
TB @ SF,-2.0,1.0,"[0.5, -1.5]",
NE @ PIT,-0.97,-7.5,"[-0.5, -2.5]",
SEA @ ARI,1.48,2.5,"[2.0, 0.0]",
NYG @ LARM,-1.01,-2.5,"[-0.5, -2.5]",LARM
HOU @ DEN,-8.73,8.5,"[12.5, 10.0]",
