TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,10.2%,14,11.5%,8,3-3,-7.5%,24,-20.9%,3,-3.2%,24
ATL,18.8%,5,14.4%,6,4-2,22.9%,2,10.2%,26,6.1%,3
BAL,4.2%,15,4.6%,15,3-3,-11.8%,27,-16.4%,6,-0.4%,18
BUF,22.6%,8,18.6%,3,4-2,12.1%,6,-7.2%,10,3.3%,8
CAR,-10.6%,23,-7.7%,23,1-5,0.0%,15,3.6%,22,-7.0%,30
CHI,-2.8%,20,-3.8%,19,1-5,-1.3%,19,-2.2%,15,-3.7%,25
CIN,-11.3%,19,-8.5%,24,2-4,1.3%,13,7.7%,25,-4.9%,28
CLE,-27.9%,32,-26.9%,31,0-6,-8.7%,25,12.6%,27,-6.6%,29
DAL,19.8%,9,15.9%,4,5-1,23.5%,1,2.5%,19,-1.1%,20
DEN,12.0%,7,10.0%,10,4-2,-6.0%,23,-17.5%,4,0.5%,17
DET,-15.0%,24,-12.5%,26,3-3,3.4%,12,26.1%,32,7.7%,2
GB,12.2%,6,11.3%,9,3-2,0.7%,14,-9.4%,7,2.1%,13
HOU,-23.2%,31,-20.4%,30,4-2,-20.5%,32,-5.1%,11,-7.8%,31
IND,-18.1%,27,-15.0%,27,2-4,-4.4%,21,21.9%,31,8.2%,1
JAC,-9.6%,22,-9.1%,25,2-3,-15.8%,31,-4.7%,13,1.5%,16
KC,6.7%,17,8.8%,12,3-2,-3.8%,20,-8.5%,8,2.1%,12
LARM,-7.8%,25,-6.0%,22,3-3,-15.5%,29,-2.7%,14,5.0%,6
MIA,-4.0%,28,-5.8%,21,2-4,-5.9%,22,0.0%,17,1.9%,14
MIN,35.6%,1,25.7%,2,5-0,4.5%,11,-25.9%,2,5.3%,5
NE,13.5%,13,15.4%,5,5-1,14.9%,4,3.5%,21,2.1%,11
NO,-6.0%,21,-4.8%,20,2-3,10.8%,7,14.5%,28,-2.2%,22
NYG,0.0%,18,-0.5%,17,3-3,-1.2%,18,-1.6%,16,-0.4%,19
NYJ,-36.1%,30,-30.2%,32,1-5,-15.8%,30,18.5%,30,-1.8%,21
OAK,-0.2%,10,-0.7%,18,4-2,15.6%,3,17.6%,29,1.9%,15
PHI,21.8%,2,13.5%,7,3-2,0.0%,16,-16.5%,5,5.3%,4
PIT,8.3%,4,9.7%,11,4-2,12.4%,5,6.9%,24,2.7%,9
SD,7.8%,11,5.9%,13,2-4,7.0%,8,-5.1%,12,-4.3%,26
SEA,29.3%,3,28.2%,1,4-1,-0.8%,17,-27.6%,1,2.5%,10
SF,-17.2%,26,-17.7%,29,1-5,-10.1%,26,2.6%,20,-4.6%,27
TB,-21.2%,29,-16.7%,28,2-3,-14.3%,28,3.8%,23,-3.0%,23
TEN,3.0%,16,0.8%,16,3-3,5.4%,10,-8.0%,9,-10.5%,32
WAS,8.5%,12,5.4%,14,4-2,6.4%,9,1.5%,18,3.6%,7
