Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,SF,14,Sun,December 11,4:05PM,1,boxscore,21,19,325,3,233,0,-22.3%,3.5
ATL,CAR,14,Sun,December 11,1:04PM,0,boxscore,31,23,394,0,416,2,19.8%,-3.0
BAL,IND,14,Sun,December 11,1:02PM,1,boxscore,24,10,358,2,167,1,20.5%,-16.5
BUF,SD,14,Sun,December 11,4:15PM,0,boxscore,10,37,366,1,281,3,-14.2%,7.0
CAR,ATL,14,Sun,December 11,1:04PM,1,boxscore,23,31,394,0,416,2,-3.3%,3.0
CHI,DEN,14,Sun,December 11,4:05PM,0,boxscore,10,13,345,2,245,1,13.1%,3.5
CIN,HOU,14,Sun,December 11,1:02PM,1,boxscore,19,20,412,4,285,2,1.1%,-3.0
CLE,PIT,14,Thu,December 8,8:28PM,0,boxscore,3,14,416,3,304,2,-15.1%,14.0
DAL,NYG,14,Sun,December 11,8:30PM,1,boxscore,34,37,510,1,444,1,4.0%,-4.5
DEN,CHI,14,Sun,December 11,4:05PM,1,boxscore,13,10,345,2,245,1,-1.8%,-3.5
DET,MIN,14,Sun,December 11,1:03PM,1,boxscore,34,28,280,0,425,6,8.5%,-10.0
GB,OAK,14,Sun,December 11,4:15PM,1,boxscore,46,16,391,1,357,5,23.5%,-11.5
HOU,CIN,14,Sun,December 11,1:02PM,0,boxscore,20,19,412,4,285,2,33.6%,3.0
IND,BAL,14,Sun,December 11,1:02PM,0,boxscore,10,24,358,2,167,1,-40.0%,16.5
JAC,TB,14,Sun,December 11,1:03PM,1,boxscore,41,14,325,2,280,7,-17.8%,3.0
KC,NYJ,14,Sun,December 11,1:02PM,0,boxscore,10,37,314,1,221,1,-15.0%,10.5
MIA,PHI,14,Sun,December 11,1:03PM,1,boxscore,10,26,239,2,204,3,4.3%,-3.0
MIN,DET,14,Sun,December 11,1:03PM,0,boxscore,28,34,280,0,425,6,-20.7%,10.0
NE,WAS,14,Sun,December 11,1:03PM,0,boxscore,34,27,431,1,463,2,23.2%,-7.5
NO,TEN,14,Sun,December 11,1:03PM,0,boxscore,22,17,437,0,373,0,19.8%,-3.5
NYG,DAL,14,Sun,December 11,8:30PM,0,boxscore,37,34,510,1,444,1,11.7%,4.5
NYJ,KC,14,Sun,December 11,1:02PM,1,boxscore,37,10,314,1,221,1,21.1%,-10.5
OAK,GB,14,Sun,December 11,4:15PM,0,boxscore,16,46,391,1,357,5,-6.0%,11.5
PHI,MIA,14,Sun,December 11,1:03PM,0,boxscore,26,10,239,2,204,3,2.1%,3.0
PIT,CLE,14,Thu,December 8,8:28PM,1,boxscore,14,3,416,3,304,2,32.3%,-14.0
SD,BUF,14,Sun,December 11,4:15PM,1,boxscore,37,10,366,1,281,3,-5.5%,-7.0
SEA,STL,14,Mon,December 12,8:40PM,1,boxscore,30,13,359,1,281,1,-7.0%,-9.5
SF,ARI,14,Sun,December 11,4:05PM,0,boxscore,19,21,325,3,233,0,19.1%,-3.5
STL,SEA,14,Mon,December 12,8:40PM,0,boxscore,13,30,359,1,281,1,-34.3%,9.5
TB,JAC,14,Sun,December 11,1:03PM,0,boxscore,14,41,325,2,280,7,-14.9%,-3.0
TEN,NO,14,Sun,December 11,1:03PM,1,boxscore,17,22,437,0,373,0,10.5%,3.5
WAS,NE,14,Sun,December 11,1:03PM,1,boxscore,27,34,431,1,463,2,-15.5%,7.5
