Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-3.0 / 3.0,ATL,CAR,-,-3.0 / 3.0
+7.0 / -7.0,BUF,SDG,-,+7.0 / -7.0
+3.5 / -3.5,CHI,DEN,-,+3.5 / -3.5
+14.0 / -14.0,CLE,PIT,-,+14.0 / -14.0
+3.0 / -3.0,HOU,CIN,-,+3.0 / -3.0
+16.5 / -16.5,IND,BAL,-,+16.5 / -16.5
+10.5 / -10.5,KAN,NYJ,-,+10.5 / -10.5
+10.0 / -10.0,MIN,DET,-,+10.0 / -10.0
-3.5 / 3.5,NOR,TEN,-,-3.5 / 3.5
-7.5 / 7.5,NWE,WAS,-,-7.5 / 7.5
+4.5 / -4.5,NYG,DAL,-,+4.5 / -4.5
+11.5 / -11.5,OAK,GNB,-,+11.5 / -11.5
+3.0 / -3.0,PHI,MIA,-,+3.0 / -3.0
-3.5 / 3.5,SFO,ARI,-,-3.5 / 3.5
+9.5 / -9.5,STL,SEA,-,+9.5 / -9.5
-3.0 / 3.0,TAM,JAX,-,-3.0 / 3.0
