Game,EGO,Spread,Spread Target,Pick
CLE @ PIT,-12.22,14.0,"[16.0, 13.5]",CLE
HOU @ CIN,5.08,3.0,"[-1.5, -3.5]",
IND @ BAL,-14.82,16.5,"[18.5, 16.5]",IND
KC @ NYJ,-9.91,10.5,"[13.5, 11.5]",
MIN @ DET,-8.48,10.0,"[12.0, 10.0]",MIN
NE @ WAS,6.51,-7.5,"[-8.0, -10.0]",
NO @ TEN,-0.17,-3.5,"[-1.5, -3.5]",TEN
PHI @ MIA,-2.71,3.0,"[6.5, 4.0]",
TB @ JAC,-1.59,-3.0,"[0.0, -2.0]",
ATL @ CAR,2.93,-3.0,"[1.0, -1.5]",
CHI @ DEN,1.08,3.5,"[2.5, 0.5]",
SF @ ARI,7.14,-3.5,"[-3.5, -5.5]",SF
BUF @ SD,-4.12,7.0,"[8.0, 5.5]",BUF
OAK @ GB,-8.54,11.5,"[12.0, 10.0]",OAK
NYG @ DAL,-0.53,4.5,"[4.0, 2.0]",
STL @ SEA,-8.08,9.5,"[12.0, 9.5]",STL
