TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-22.9%,30,-22.3%,30,5-7,-13.8%,29,12.6%,25,3.6%,6
ATL,17.6%,10,19.8%,8,7-5,8.7%,13,-8.5%,6,0.4%,17
BAL,24.2%,5,20.5%,6,9-3,8.7%,12,-19.4%,1,-3.9%,28
BUF,-5.8%,19,-14.2%,23,5-7,9.4%,10,13.7%,28,-1.6%,25
CAR,-5.6%,24,-3.3%,19,4-8,18.6%,6,18.6%,31,-5.6%,30
CHI,12.6%,9,13.1%,10,7-5,-8.3%,25,-10.6%,4,10.3%,1
CIN,0.9%,15,1.1%,17,7-5,5.6%,17,5.5%,16,0.9%,14
CLE,-16.0%,26,-15.1%,26,4-8,-6.2%,24,9.0%,21,-0.8%,22
DAL,4.5%,13,4.0%,15,7-5,8.8%,11,2.9%,14,-1.4%,23
DEN,-4.3%,20,-1.8%,18,7-5,-2.9%,23,5.6%,17,4.2%,5
DET,8.3%,11,8.5%,13,7-5,8.6%,14,-6.1%,8,-6.4%,32
GB,26.5%,2,23.5%,3,12-0,37.3%,1,12.4%,24,1.5%,12
HOU,31.0%,1,33.6%,1,9-3,19.8%,5,-9.6%,5,1.7%,11
IND,-38.9%,32,-40.0%,32,0-12,-12.7%,28,20.3%,32,-5.9%,31
JAC,-17.7%,23,-17.8%,28,3-9,-21.4%,31,-7.6%,7,-3.9%,29
KC,-20.3%,29,-15.0%,25,5-7,-18.1%,30,2.6%,13,0.5%,16
MIA,0.6%,18,4.3%,14,4-8,2.9%,19,3.2%,15,0.8%,15
MIN,-16.4%,28,-20.7%,29,2-10,-1.8%,22,12.2%,23,-2.4%,26
NE,24.0%,3,23.2%,4,9-3,34.5%,2,13.4%,26,2.9%,7
NO,19.1%,7,19.8%,7,9-3,34.3%,3,14.8%,29,-0.4%,19
NYG,9.3%,14,11.7%,11,6-6,13.9%,7,5.8%,18,1.3%,13
NYJ,21.3%,4,21.1%,5,7-5,4.0%,18,-13.0%,2,4.3%,4
OAK,-2.9%,17,-6.0%,21,7-5,5.9%,16,8.2%,20,-0.6%,21
PHI,1.2%,16,2.1%,16,4-8,10.1%,9,10.6%,22,1.8%,10
PIT,25.8%,6,32.3%,2,9-3,20.0%,4,-3.4%,9,2.4%,9
SD,-5.7%,22,-5.5%,20,5-7,13.1%,8,16.2%,30,-2.6%,27
SEA,-9.1%,27,-7.0%,22,5-7,-8.3%,26,1.2%,11,0.4%,18
SF,20.3%,8,19.1%,9,10-2,0.8%,20,-11.3%,3,8.2%,2
STL,-36.1%,31,-34.3%,31,2-10,-26.8%,32,7.9%,19,-1.5%,24
TB,-11.5%,21,-14.9%,24,4-8,-0.3%,21,13.6%,27,2.4%,8
TEN,11.5%,12,10.5%,12,7-5,7.9%,15,1.9%,12,5.5%,3
WAS,-11.8%,25,-15.5%,27,4-8,-10.3%,27,1.1%,10,-0.5%,20
