Game,EGO,Spread,Spread Target,Pick
SF @ SD,-9.0,10.5,"[12.5, 10.5]",SF
KC @ STL,1.51,3.0,"[2.0, -0.0]",
BUF @ MIA,-6.32,5.5,"[5.0, 2.5]",
CLE @ CIN,2.25,0.0,"[1.5, -1.0]",CLE
HOU @ TEN,-3.34,1.0,"[2.0, -0.5]",TEN
JAC @ IND,-3.49,4.5,"[7.0, 5.0]",
DET @ TB,-4.03,4.0,"[7.5, 5.5]",
NO @ BAL,-4.55,2.5,"[3.0, 1.0]",BAL
PHI @ NYG,-2.47,3.0,"[6.0, 4.0]",
WAS @ DAL,-3.49,9.5,"[7.0, 5.0]",
ARI @ CAR,-1.65,2.5,"[5.5, 3.0]",
ATL @ SEA,8.48,-6.0,"[-5.0, -7.0]",ATL
DEN @ OAK,-6.17,8.0,"[10.0, 7.5]",DEN
NYJ @ PIT,-9.02,4.0,"[7.5, 5.5]",
GB @ NE,-7.6,14.5,"[11.5, 9.0]",
CHI @ MIN,-0.79,-7.0,"[-0.5, -3.0]",
