TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-34.8%,32,-31.8%,31,3-10,-29.8%,31,7.4%,24,2.4%,10
ATL,17.8%,7,15.3%,9,11-2,16.9%,5,3.2%,16,4.1%,7
BAL,22.0%,6,27.3%,3,9-4,10.0%,13,-6.5%,6,5.5%,2
BUF,-13.4%,28,-9.1%,23,3-10,-2.5%,22,11.6%,25,0.7%,15
CAR,-36.1%,31,-34.4%,32,1-12,-34.0%,32,2.8%,15,0.7%,16
CHI,-4.6%,18,-3.1%,20,9-4,-16.5%,30,-6.8%,5,5.1%,4
CIN,-11.4%,22,-16.2%,26,2-11,-1.1%,20,7.1%,22,-3.1%,29
CLE,1.9%,12,3.9%,12,5-8,-2.0%,21,-1.3%,11,2.6%,9
DAL,-13.5%,26,-14.7%,25,4-9,-0.2%,19,14.2%,28,0.9%,14
DEN,-19.3%,24,-19.6%,28,3-10,5.3%,16,22.4%,32,-2.3%,24
DET,-8.3%,25,-8.7%,22,3-10,-3.3%,23,6.5%,20,1.5%,12
GB,19.6%,4,17.5%,7,8-5,13.5%,8,-9.0%,4,-2.9%,28
HOU,2.9%,16,3.7%,13,5-8,26.9%,2,21.4%,30,-2.6%,27
IND,5.0%,15,2.8%,15,7-6,15.2%,6,6.4%,19,-3.9%,30
JAC,-6.3%,19,-3.0%,19,8-5,11.4%,12,22.3%,31,4.6%,5
KC,3.9%,13,-0.4%,16,8-5,11.8%,11,5.6%,18,-2.3%,25
MIA,10.2%,11,9.9%,10,7-6,6.1%,15,-3.4%,9,0.6%,19
MIN,-10.2%,21,-9.6%,24,5-8,-10.4%,27,0.4%,12,0.6%,18
NE,38.3%,1,42.5%,1,11-2,48.7%,1,12.1%,27,1.7%,11
NO,15.1%,9,16.6%,8,10-3,14.7%,7,-2.8%,10,-2.4%,26
NYG,22.8%,5,26.9%,4,9-4,12.3%,10,-15.4%,2,-4.9%,31
NYJ,10.4%,10,3.7%,14,9-4,-0.1%,18,-6.1%,7,4.4%,6
OAK,-10.3%,23,-1.3%,18,6-7,-5.6%,25,3.9%,17,-0.8%,20
PHI,25.1%,3,25.8%,5,9-4,24.2%,3,0.5%,14,1.4%,13
PIT,35.2%,2,35.5%,2,10-3,12.9%,9,-19.1%,1,3.2%,8
SD,21.6%,8,25.2%,6,7-6,19.8%,4,-12.0%,3,-10.2%,32
SEA,-24.8%,30,-31.8%,30,6-7,-13.1%,29,19.1%,29,7.5%,1
SF,-9.1%,20,-6.5%,21,5-8,-6.8%,26,0.5%,13,-1.8%,22
STL,-19.0%,27,-17.2%,27,6-7,-13.0%,28,6.6%,21,0.6%,17
TB,-0.8%,17,-0.4%,17,8-5,7.5%,14,7.2%,23,-1.2%,21
TEN,10.7%,14,8.8%,11,5-8,1.0%,17,-4.6%,8,5.1%,3
WAS,-18.7%,29,-20.5%,29,5-8,-4.7%,24,12.1%,26,-1.8%,23
