Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-1.0 / 1.0,ATL,CAR,-,-1.0 / 1.0
-11.0 / 11.0,BAL,CLE,-,-11.0 / 11.0
+7.5 / -7.5,BUF,TEN,-,+7.5 / -7.5
+3.0 / -3.0,CHI,SFO,-,+3.0 / -3.0
+6.5 / -6.5,CIN,PIT,-,+6.5 / -6.5
-3.0 / 3.0,DAL,GNB,-,-3.0 / 3.0
-3.5 / 3.5,DEN,WAS,-,-3.5 / 3.5
+17.0 / -17.0,DET,MIN,-,+17.0 / -17.0
+6.5 / -6.5,JAX,NYJ,-,+6.5 / -6.5
+2.5 / -2.5,KAN,OAK,-,+2.5 / -2.5
-14.5 / 14.5,NOR,STL,-,-14.5 / 14.5
+1.5 / -1.5,NWE,IND,-,+1.5 / -1.5
+1.5 / -1.5,PHI,SDG,-,+1.5 / -1.5
+8.5 / -8.5,SEA,ARI,-,+8.5 / -8.5
+10.0 / -10.0,TAM,MIA,-,+10.0 / -10.0
