Game,EGO,Spread,Spread Target,Pick
CHI @ SF,-5.28,3.0,"[4.0, 1.5]",SF
NO @ STL,15.17,-14.5,"[-11.5, -13.5]",
BUF @ TEN,-2.25,7.5,"[6.0, 4.0]",
CIN @ PIT,-5.16,6.5,"[9.0, 6.5]",CIN
DEN @ WAS,4.76,-3.5,"[-1.0, -3.5]",DEN
JAC @ NYJ,-4.12,6.5,"[8.0, 5.5]",JAC
ATL @ CAR,2.14,-1.0,"[1.5, -0.5]",
TB @ MIA,-12.77,10.0,"[11.5, 9.0]",MIA
DET @ MIN,-17.7,17.0,"[16.0, 14.0]",
KC @ OAK,1.64,2.5,"[2.0, -0.0]",
DAL @ GB,0.29,-3.0,"[-2.0, -4.0]",GB
PHI @ SD,5.13,1.5,"[-1.5, -3.5]",
SEA @ ARI,-7.05,8.5,"[11.0, 8.5]",SEA
NE @ IND,-0.15,1.5,"[4.0, 1.5]",NE
BAL @ CLE,13.88,-11.0,"[-10.0, -12.5]",BAL
