TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,13.9%,12,14.6%,11,5-3,11.6%,12,-1.6%,14,0.7%,14
ATL,8.9%,14,7.7%,16,5-3,10.9%,14,2.0%,19,0.0%,16
BAL,27.2%,5,27.5%,6,4-4,21.5%,6,-5.7%,10,-0.1%,17
BUF,-16.9%,24,-18.0%,26,3-5,-18.7%,27,-1.0%,15,0.7%,12
CAR,-15.2%,25,-11.9%,22,3-5,-10.6%,23,-2.0%,13,-6.6%,31
CHI,-16.5%,23,-16.6%,24,4-4,-13.2%,25,8.9%,22,5.6%,4
CIN,12.2%,15,12.2%,13,6-2,19.0%,7,2.0%,18,-4.8%,27
CLE,-41.0%,28,-42.1%,29,1-7,-33.9%,31,17.7%,29,10.7%,1
DAL,27.7%,9,28.9%,5,6-2,27.1%,3,4.5%,20,5.1%,5
DEN,18.1%,8,17.3%,10,6-2,9.2%,17,-14.3%,3,-5.3%,28
DET,-54.0%,32,-53.6%,32,1-7,-29.1%,30,19.4%,30,-5.5%,29
GB,18.2%,6,17.5%,9,4-4,16.4%,8,-10.6%,5,-8.8%,32
HOU,7.1%,17,9.0%,14,5-4,13.8%,10,9.9%,24,3.1%,7
IND,32.1%,4,33.6%,3,8-0,23.6%,5,-6.9%,6,1.7%,10
JAC,-2.7%,20,-4.4%,20,4-4,11.4%,13,16.0%,28,1.9%,9
KC,-33.9%,27,-34.5%,27,1-7,-21.2%,29,14.9%,27,2.1%,8
MIA,12.9%,11,14.5%,12,3-5,13.3%,11,5.3%,21,4.8%,6
MIN,25.9%,7,26.9%,7,7-1,16.3%,9,1.0%,17,10.5%,2
NE,41.0%,1,43.0%,1,6-2,33.3%,1,-6.3%,8,1.5%,11
NO,35.2%,3,34.0%,2,8-0,28.6%,2,-11.3%,4,-4.8%,26
NYG,9.2%,13,9.0%,15,5-4,8.9%,18,-2.5%,11,-2.2%,24
NYJ,6.1%,16,4.3%,17,4-4,-8.4%,21,-14.7%,2,-0.2%,20
OAK,-50.8%,31,-51.9%,31,2-6,-37.4%,32,12.8%,25,-0.6%,21
PHI,35.5%,2,32.9%,4,5-3,9.9%,15,-18.6%,1,7.0%,3
PIT,24.4%,10,25.7%,8,6-2,24.6%,4,-5.9%,9,-6.0%,30
SD,-1.1%,19,0.2%,18,5-3,9.5%,16,9.5%,23,-1.1%,23
SEA,-6.9%,21,-7.8%,21,3-5,-7.0%,20,0.5%,16,0.6%,15
SF,-2.4%,18,-2.5%,19,3-5,-8.4%,22,-6.7%,7,-0.7%,22
STL,-44.1%,29,-43.1%,30,1-7,-19.8%,28,24.2%,32,-0.2%,19
TB,-34.7%,30,-35.7%,28,1-7,-12.7%,24,22.7%,31,0.7%,13
TEN,-17.1%,26,-17.9%,25,2-6,-0.6%,19,13.0%,26,-3.5%,25
WAS,-12.9%,22,-13.8%,23,2-6,-14.8%,26,-2.0%,12,-0.1%,18
