TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-9.8%,16,-2.3%,17,2-2,-7.6%,25,2.2%,19,-0.1%,16
ATL,-13.6%,21,-0.5%,14,0-4,-1.8%,21,7.9%,25,-3.8%,28
BAL,27.0%,6,17.7%,3,3-1,6.1%,11,-7.3%,9,13.6%,1
BUF,16.4%,10,6.3%,11,4-0,19.5%,5,5.7%,22,2.5%,11
CAR,-5.6%,28,-11.7%,26,2-2,5.8%,14,9.8%,28,-1.6%,19
CHI,-9.3%,17,-4.9%,22,3-1,-15.5%,27,-10.6%,7,-4.3%,30
CIN,-6.4%,20,-12.1%,27,1-2-1,-9.8%,26,0.8%,16,4.2%,7
CLE,2.5%,19,-2.6%,19,3-1,7.5%,9,1.2%,17,-3.8%,27
DAL,-3.2%,14,3.6%,12,1-3,6.1%,12,7.9%,24,-1.4%,17
DEN,-30.1%,32,-15.9%,30,1-3,-30.1%,30,-2.1%,12,-2.1%,21
DET,-10.9%,22,-2.5%,18,1-3,-5.1%,23,10.8%,29,4.9%,6
GB,25.2%,8,7.3%,10,4-0,30.4%,1,8.8%,26,3.6%,9
HOU,-7.3%,23,-3.4%,21,0-4,0.3%,20,9.0%,27,1.3%,12
IND,25.3%,1,12.3%,6,3-1,-5.5%,24,-25.7%,1,5.1%,4
JAX,-1.3%,18,-7.8%,25,1-3,16.9%,6,16.2%,32,-2.0%,20
KC,28.0%,9,22.6%,1,4-0,21.9%,4,-13.0%,5,-6.9%,32
LAC,-5.4%,15,-3.2%,20,1-3,1.1%,19,2.4%,20,-4.0%,29
LAR,15.5%,7,8.3%,8,3-1,22.6%,2,0.5%,15,-6.6%,31
LV,-11.7%,25,-6.7%,24,2-2,6.4%,10,15.8%,30,-2.3%,22
MIA,-12.1%,26,-14.1%,28,1-3,-2.9%,22,16.0%,31,6.8%,2
MIN,2.5%,24,-0.7%,15,1-3,4.5%,16,-0.7%,13,-2.7%,23
NE,-4.1%,12,-1.8%,16,2-2,2.3%,17,6.8%,23,0.3%,14
NO,18.7%,11,19.6%,2,2-2,8.3%,8,-7.6%,8,2.7%,10
NYG,-32.4%,30,-14.5%,29,0-4,-39.7%,32,-2.3%,11,5.0%,5
NYJ,-26.5%,31,-16.6%,31,0-4,-28.3%,28,-5.3%,10,-3.5%,26
PHI,-29.7%,29,-5.3%,23,1-2-1,-34.2%,31,-0.5%,14,4.0%,8
PIT,20.7%,2,11.4%,7,3-0,1.4%,18,-18.5%,3,0.8%,13
SEA,23.9%,4,12.5%,5,4-0,22.3%,3,3.8%,21,5.4%,3
SF,17.0%,3,7.3%,9,2-2,4.8%,15,-12.1%,6,0.1%,15
TB,30.1%,5,15.2%,4,3-1,9.0%,7,-24.1%,2,-3.1%,25
TEN,2.2%,13,2.1%,13,3-0,5.9%,13,2.0%,18,-1.6%,18
WAS,-17.1%,27,-18.5%,32,1-3,-28.3%,29,-13.9%,4,-2.8%,24
