Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+10.5 / -10.5,ATL,SFO,-,+10.5 / -10.5
+1.0 / -1.0,BUF,PIT,-,+1.0 / -1.0
+4.0 / -4.0,CHI,GNB,-,+4.0 / -4.0
-3.0 / 3.0,CLE,ARI,-,-3.0 / 3.0
+10.0 / -10.0,DEN,KAN,-,+10.0 / -10.0
+3.0 / -3.0,HOU,TEN,-,+3.0 / -3.0
+8.0 / -8.0,IND,NOR,-,+8.0 / -8.0
+7.0 / -7.0,JAX,OAK,-,+7.0 / -7.0
-1.0 / 1.0,LAR,DAL,-,-1.0 / 1.0
+3.5 / -3.5,MIA,NYG,-,+3.5 / -3.5
-1.0 / 1.0,MIN,LAC,-,-1.0 / 1.0
-10.5 / 10.5,NWE,CIN,-,-10.5 / 10.5
+17.0 / -17.0,NYJ,BAL,-,+17.0 / -17.0
-7.0 / 7.0,PHI,WAS,-,-7.0 / 7.0
-6.0 / 6.0,SEA,CAR,-,-6.0 / 6.0
-5.5 / 5.5,TAM,DET,-,-5.5 / 5.5
