TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-13.7%,24,-12.9%,23,3-9-1,-0.4%,15,10.8%,28,-2.6%,30
ATL,-14.4%,26,-13.0%,24,4-9,-3.4%,20,8.7%,26,-2.3%,29
BAL,42.8%,1,47.2%,1,11-2,26.6%,1,-13.1%,4,3.1%,4
BUF,4.4%,11,8.6%,9,9-4,-5.5%,22,-10.9%,5,-1.1%,22
CAR,-20.2%,27,-26.4%,29,5-8,-11.8%,25,6.7%,23,-1.8%,26
CHI,0.3%,19,-0.4%,18,7-6,-9.0%,23,-7.8%,7,1.5%,9
CIN,-25.7%,31,-23.6%,28,1-12,-16.6%,28,14.1%,30,5.0%,1
CLE,-1.5%,14,0.0%,17,6-7,-1.4%,19,0.7%,16,0.5%,12
DAL,14.5%,7,13.2%,8,6-7,26.2%,2,6.4%,22,-5.2%,32
DEN,-6.9%,23,-5.9%,20,5-8,-9.4%,24,-4.1%,11,-1.6%,24
DET,-9.0%,21,-11.8%,22,3-9-1,-0.7%,18,8.5%,24,0.2%,14
GB,7.4%,9,4.3%,12,10-3,10.5%,6,3.9%,20,0.8%,11
HOU,-4.0%,15,-6.3%,21,8-5,4.1%,12,10.2%,27,2.1%,7
IND,-2.1%,17,-1.9%,19,6-7,-0.4%,16,-0.5%,15,-2.2%,28
JAX,-21.7%,25,-27.2%,30,4-9,-11.8%,26,11.3%,29,1.4%,10
KC,26.4%,4,25.4%,5,9-4,20.2%,3,-3.5%,13,2.7%,6
LAC,-1.7%,20,1.1%,16,5-8,5.8%,10,4.1%,21,-3.4%,31
LAR,8.0%,12,6.6%,10,8-5,-0.7%,17,-9.7%,6,-1.1%,21
MIA,-42.2%,32,-35.2%,32,3-10,-18.2%,29,24.0%,32,0.0%,16
MIN,16.1%,8,17.8%,7,9-4,10.1%,7,-6.4%,8,-0.4%,20
NE,34.9%,2,28.7%,4,10-3,3.9%,13,-31.3%,1,-0.4%,19
NO,24.9%,5,30.2%,2,10-3,16.2%,5,-5.2%,9,3.6%,3
NYG,-22.3%,29,-22.8%,27,2-11,-13.8%,27,8.7%,25,0.1%,15
NYJ,-19.1%,28,-18.2%,26,5-8,-26.8%,32,-4.1%,12,3.6%,2
OAK,-13.3%,22,-16.1%,25,6-7,4.8%,11,16.6%,31,-1.5%,23
PHI,3.1%,10,2.8%,14,6-7,1.0%,14,-2.2%,14,-0.1%,17
PIT,1.8%,13,3.8%,13,8-5,-18.3%,30,-17.4%,3,2.8%,5
SEA,17.7%,6,18.2%,6,10-3,19.9%,4,0.7%,17,-1.6%,25
SF,32.5%,3,29.8%,3,11-2,7.7%,8,-25.0%,2,-0.2%,18
TB,0.2%,18,2.6%,15,6-7,-5.0%,21,-4.8%,10,0.4%,13
TEN,3.5%,16,6.5%,11,8-5,6.7%,9,1.0%,18,-2.2%,27
WAS,-28.0%,30,-30.6%,31,3-10,-26.3%,31,3.4%,19,1.7%,8
