Game,EGO,Spread,Spread Target,Pick
OAK @ SF,-1.15,-1.5,"[-0.5, -2.5]",SF
ATL @ WAS,-4.38,1.5,"[3.0, 0.5]",WAS
CHI @ BUF,9.56,-10.5,"[-11.0, -13.5]",
DET @ MIN,-5.92,4.5,"[4.5, 2.0]",MIN
KC @ CLE,9.51,-7.5,"[-6.0, -8.0]",KC
NYJ @ MIA,-5.58,3.0,"[4.0, 2.0]",MIA
PIT @ BAL,-2.49,1.5,"[1.0, -1.0]",
TB @ CAR,-9.56,6.0,"[8.0, 6.0]",CAR
HOU @ DEN,-3.29,1.0,"[2.0, -0.5]",DEN
LAC @ SEA,-1.39,1.0,"[-0.0, -2.5]",
LAR @ NO,1.6,-1.5,"[2.0, -0.0]",
GB @ NE,-3.16,5.0,"[7.0, 4.5]",GB
TEN @ DAL,-4.66,4.5,"[8.5, 6.0]",
