Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ARI,2,2014,-2.0,42.5,11,9.0,1,0,0,0,NYG,100.0,52.0,60.0,59.0,68.0,36.0,65.0,46.0,73.0,62.0,0.0,60.0,45.0,86.0,52.0,66.0,1,0,0,0.0,12.0,60.0,20.0,16.0,15.0,81.0,73.0,9.0,4.0,4.0,33.0,7.0,5.0,32.0,15.0,25.0,0.0,5.0,75.0,20.0,60.0,15.0,73.0,4.0,33.0
ATL,2,2014,6.0,49.0,-14,-8.0,-1,0,0,0,CIN,100.0,55.0,60.0,100.0,30.0,91.0,79.0,9.0,70.0,38.0,0.0,80.0,52.0,39.0,100.0,36.0,1,0,0,100.0,62.0,100.0,60.0,30.0,29.0,34.0,63.0,64.0,54.0,69.0,37.0,53.0,54.0,65.0,59.0,35.0,34.0,41.0,25.0,60.0,100.0,29.0,63.0,54.0,37.0
BAL,2,2014,-2.5,44.0,20,17.5,1,1,1,0,PIT,0.0,38.0,47.0,35.0,46.0,41.0,66.0,65.0,59.0,75.0,0.0,40.0,37.0,71.0,63.0,46.0,0,1,0,100.0,55.0,40.0,60.0,59.0,55.0,2.0,11.0,69.0,78.0,42.0,79.0,67.0,86.0,43.0,74.0,43.0,83.0,73.0,62.0,60.0,40.0,55.0,11.0,78.0,79.0
BUF,2,2014,-1.5,42.5,19,17.5,1,1,0,0,MIA,100.0,55.0,53.0,64.0,41.0,88.0,43.0,43.0,36.0,25.0,40.0,80.0,90.0,67.0,11.0,33.0,0,0,0,100.0,73.0,80.0,80.0,74.0,89.0,39.0,66.0,42.0,12.0,71.0,70.0,53.0,37.0,86.0,6.0,78.0,64.0,59.0,62.0,80.0,80.0,89.0,66.0,12.0,70.0
CAR,2,2014,-2.5,44.0,17,14.5,1,1,0,0,DET,100.0,61.0,87.0,34.0,69.0,74.0,54.0,29.0,64.0,12.0,60.0,80.0,47.0,59.0,28.0,91.0,0,0,0,100.0,88.0,80.0,40.0,19.0,27.0,84.0,85.0,96.0,67.0,91.0,96.0,93.0,68.0,95.0,85.0,100.0,75.0,95.0,25.0,40.0,80.0,27.0,85.0,67.0,96.0
CHI,2,2014,7.0,47.5,8,15.0,1,0,0,0,SFO,0.0,45.0,80.0,59.0,36.0,12.0,57.0,57.0,64.0,75.0,20.0,60.0,33.0,10.0,67.0,89.0,1,0,0,100.0,70.0,80.0,60.0,56.0,55.0,16.0,45.0,96.0,19.0,81.0,61.0,40.0,54.0,43.0,54.0,86.0,19.0,37.0,0.0,60.0,80.0,55.0,45.0,19.0,61.0
CIN,2,2014,-6.0,49.0,14,8.0,1,1,0,0,ATL,100.0,62.0,53.0,54.0,65.0,59.0,35.0,34.0,41.0,25.0,60.0,100.0,29.0,63.0,54.0,37.0,0,0,0,100.0,55.0,80.0,0.0,71.0,52.0,28.0,39.0,100.0,100.0,46.0,36.0,60.0,100.0,30.0,91.0,79.0,9.0,70.0,38.0,0.0,80.0,52.0,39.0,100.0,36.0
CLE,2,2014,6.0,48.5,2,8.0,1,1,0,0,NOR,0.0,45.0,33.0,57.0,14.0,26.0,17.0,57.0,27.0,38.0,60.0,40.0,89.0,45.0,21.0,22.0,0,0,0,0.0,45.0,100.0,20.0,72.0,61.0,29.0,48.0,54.0,64.0,0.0,0.0,53.0,70.0,0.0,9.0,91.0,21.0,30.0,62.0,20.0,100.0,61.0,48.0,64.0,0.0
DAL,2,2014,3.5,49.5,16,19.5,1,0,0,0,TEN,0.0,30.0,60.0,57.0,46.0,46.0,81.0,14.0,63.0,100.0,20.0,40.0,55.0,45.0,39.0,81.0,1,0,0,100.0,79.0,20.0,80.0,57.0,73.0,50.0,78.0,79.0,35.0,100.0,86.0,100.0,43.0,77.0,100.0,61.0,100.0,83.0,12.0,80.0,20.0,73.0,78.0,35.0,86.0
DEN,2,2014,-11.5,50.5,7,-4.5,-1,1,0,0,KAN,100.0,62.0,67.0,40.0,48.0,65.0,71.0,61.0,40.0,25.0,60.0,80.0,41.0,84.0,40.0,29.0,0,0,0,0.0,21.0,20.0,80.0,50.0,22.0,43.0,27.0,0.0,14.0,21.0,65.0,0.0,23.0,57.0,0.0,0.0,39.0,17.0,88.0,80.0,20.0,22.0,27.0,14.0,65.0
