TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,NON-ADJTOT VOA,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,SPECIALDVOA,S.T.RANK
ARI,-44.6%,27,-32.0%,31,-38.9%,1-3,-29.6%,30,9.7%,26,-5.3%,28
ATL,6.9%,20,8.2%,12,23.3%,3-1,-9.6%,22,-24.0%,5,-7.5%,32
BAL,41.7%,2,18.0%,7,56.9%,4-0,-6.9%,20,-42.6%,1,6.0%,4
BUF,11.5%,11,-8.1%,20,8.6%,2-2,1.8%,12,-7.7%,14,2.0%,11
CAR,-2.4%,22,5.8%,16,-5.1%,2-2,1.0%,14,4.9%,22,1.5%,13
CHI,51.4%,3,28.7%,2,63.5%,4-0,15.3%,6,-25.3%,4,10.8%,1
CIN,9.9%,6,15.6%,8,8.4%,3-1,1.4%,13,-5.4%,15,3.0%,8
CLE,-15.3%,28,-11.1%,22,-22.8%,1-3,-15.0%,26,7.5%,24,7.2%,3
DAL,33.2%,14,13.2%,9,33.1%,2-1,19.3%,3,-18.3%,7,-4.4%,27
DEN,-6.8%,23,8.1%,13,-13.4%,2-1,-4.7%,19,-5.3%,16,-7.4%,31
DET,-19.8%,25,-13.0%,24,-26.9%,0-4,0.4%,15,17.1%,29,-3.1%,24
GB,-23.4%,26,-17.2%,26,-26.9%,1-2,-12.6%,24,4.2%,20,-6.6%,29
HOU,-38.7%,30,-28.1%,30,-36.9%,1-3,-2.8%,18,39.0%,32,3.1%,7
IND,14.6%,10,22.5%,4,22.6%,4-0,24.4%,2,8.9%,25,-0.9%,16
JAC,8.1%,7,6.3%,15,7.2%,2-2,-1.3%,17,-12.6%,8,-3.2%,25
KC,37.9%,21,20.7%,6,39.5%,1-2,-0.3%,16,-28.2%,3,10.0%,2
MIA,-15.1%,24,-6.2%,18,4.1%,1-2,-17.3%,27,-4.4%,17,-2.2%,21
MIN,-3.7%,19,-12.3%,23,-12.5%,2-2,-12.4%,23,-10.2%,10,-1.6%,20
NE,11.7%,15,9.3%,11,13.1%,3-1,15.1%,7,7.2%,23,3.8%,6
NO,14.7%,5,-8.8%,21,19.1%,3-1,4.6%,11,-9.2%,12,0.9%,14
NYG,5.6%,16,3.9%,17,3.0%,1-2,16.3%,5,9.8%,27,-0.9%,17
NYJ,-3.4%,12,-16.4%,25,-1.3%,2-2,8.8%,9,13.8%,28,1.5%,12
OAK,-50.1%,32,-26.8%,28,-67.4%,0-3,-43.5%,32,4.1%,19,-2.5%,22
PHI,41.0%,4,24.8%,3,40.7%,3-1,26.6%,1,-11.9%,9,2.6%,10
PIT,-4.3%,17,7.6%,14,-12.5%,1-2,-18.4%,28,-21.4%,6,-7.3%,30
SD,50.5%,1,34.1%,1,69.0%,2-1,14.1%,8,-33.3%,2,3.0%,9
SEA,-5.2%,8,21.1%,5,-5.2%,3-1,-12.6%,25,-8.8%,13,-1.4%,19
SF,-32.2%,18,-27.9%,29,-37.8%,1-3,-7.0%,21,22.4%,30,-2.7%,23
STL,15.1%,9,-7.3%,19,31.9%,3-1,5.2%,10,-9.8%,11,0.1%,15
TB,-33.3%,29,-17.5%,27,-42.0%,0-3,-27.9%,29,4.4%,21,-1.0%,18
TEN,-62.3%,31,-36.5%,32,-61.6%,0-4,-31.7%,31,26.7%,31,-4.0%,26
WAS,18.2%,13,9.9%,10,16.2%,2-2,16.4%,4,2.6%,18,4.3%,5
