Game,EGO,Spread,Spread Target,Pick
CAR @ BAL,-4.88,3.0,"[3.5, 1.0]",BAL
CIN @ TB,5.22,-5.0,"[-1.5, -3.5]",
HOU @ DAL,-10.98,13.0,"[14.5, 12.5]",HOU
PHI @ NO,5.33,-3.0,"[-1.5, -4.0]",PHI
SEA @ STL,4.14,-3.0,"[-0.5, -2.5]",
TEN @ WAS,-12.02,12.0,"[15.5, 13.5]",
BUF @ DET,-1.15,-1.0,"[-0.5, -2.5]",DET
NYG @ ATL,-3.16,3.0,"[7.0, 4.5]",
KC @ PIT,0.67,6.5,"[3.0, 1.0]",
MIA @ NYJ,0.03,2.5,"[3.5, 1.5]",MIA
SD @ SF,12.05,-10.0,"[-8.5, -10.5]",SD
OAK @ DEN,-9.66,16.0,"[13.5, 11.0]",
CHI @ ARI,11.74,-13.0,"[-13.0, -15.5]",ARI
