Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+3.0 / -3.0,ATL,ARI,-,+3.0 / -3.0
+10.5 / -10.5,BUF,NOR,-,+10.5 / -10.5
-6.5 / 6.5,CAR,TAM,-,-6.5 / 6.5
+7.0 / -7.0,CLE,KAN,-,+7.0 / -7.0
+3.0 / -3.0,DAL,DET,-,+3.0 / -3.0
-7.5 / 7.5,GNB,MIN,-,-7.5 / 7.5
+5.5 / -5.5,MIA,NWE,-,+5.5 / -5.5
+5.5 / -5.5,NYG,PHI,-,+5.5 / -5.5
+4.5 / -4.5,NYJ,CIN,-,+4.5 / -4.5
-2.5 / 2.5,PIT,OAK,-,-2.5 / 2.5
-13.0 / 13.0,SEA,STL,-,-13.0 / 13.0
-14.5 / 14.5,SFO,JAX,-,-14.5 / 14.5
+11.0 / -11.0,WAS,DEN,-,+11.0 / -11.0
