Game,EGO,Spread,Spread Target,Pick
CAR @ TB,4.78,-6.5,"[-6.5, -8.5]",TB
BUF @ NO,-6.37,10.5,"[10.0, 8.0]",
CLE @ KC,-9.38,7.0,"[8.0, 5.5]",KC
MIA @ NE,-6.54,5.5,"[5.0, 3.0]",
NYG @ PHI,-7.99,5.5,"[6.5, 4.5]",PHI
DAL @ DET,0.47,3.0,"[3.0, 1.0]",DAL
SF @ JAC,15.17,-14.5,"[-11.5, -13.5]",
PIT @ OAK,1.62,-2.5,"[-3.0, -5.5]",
NYJ @ CIN,-5.22,4.5,"[3.5, 1.5]",
ATL @ ARI,-1.19,3.0,"[5.0, 2.5]",ATL
WAS @ DEN,-14.06,11.0,"[12.5, 10.5]",DEN
GB @ MIN,6.77,-7.5,"[-8.5, -10.5]",
SEA @ STL,9.15,-13.0,"[-10.5, -13.0]",STL
