TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFFENSE  DVOA,OFF.  RANK,DEFENSE  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,30.2%,2,27.0%,2,7-2,16.4%,3,-14.1%,6,-0.3%,14
ATL,-5.1%,17,-6.0%,19,6-3,1.5%,16,5.0%,22,-1.7%,21
BAL,-2.5%,16,-2.5%,16,2-7,-1.3%,19,7.3%,26,6.1%,2
BUF,12.3%,13,12.2%,10,5-4,10.7%,7,1.3%,16,3.0%,9
CAR,23.0%,4,23.9%,4,9-0,7.9%,10,-17.3%,3,-2.3%,22
CHI,-15.6%,29,-13.1%,23,4-5,0.3%,18,8.2%,27,-7.7%,32
CIN,26.5%,3,25.6%,3,8-1,18.0%,2,-5.6%,8,2.9%,10
CLE,-20.1%,28,-21.0%,30,2-8,-12.3%,27,12.4%,29,4.6%,6
DAL,-12.5%,23,-13.5%,24,2-7,-5.8%,22,5.5%,23,-1.1%,16
DEN,10.1%,8,9.7%,12,7-2,-21.9%,32,-27.4%,1,4.6%,5
DET,-22.1%,31,-21.8%,31,2-7,-14.2%,28,9.5%,28,1.5%,12
GB,14.9%,6,12.4%,9,6-3,13.2%,5,-3.0%,10,-1.3%,19
HOU,-16.5%,30,-16.1%,26,4-5,-11.4%,26,0.2%,14,-4.8%,29
IND,-8.7%,18,-8.0%,21,4-5,-4.5%,20,3.0%,19,-1.2%,17
JAC,-13.1%,20,-13.8%,25,3-6,-5.1%,21,2.5%,18,-5.5%,30
KC,14.6%,11,15.9%,6,4-5,8.3%,9,-2.5%,12,3.8%,8
MIA,-7.0%,21,-6.9%,20,4-5,2.7%,14,7.3%,25,-2.4%,23
MIN,-6.5%,26,-3.7%,17,7-2,-7.5%,24,3.4%,20,4.4%,7
NE,34.5%,1,33.5%,1,9-0,21.8%,1,-4.1%,9,8.6%,1
NO,-18.7%,22,-17.5%,28,4-6,8.6%,8,24.4%,32,-2.9%,25
NYG,4.6%,15,5.2%,14,5-5,1.0%,17,2.4%,17,5.9%,4
NYJ,16.4%,5,15.4%,8,5-4,3.0%,13,-16.9%,4,-3.4%,27
OAK,4.2%,12,6.1%,13,4-5,11.9%,6,6.7%,24,-1.0%,15
PHI,9.0%,10,11.1%,11,4-5,-7.1%,23,-17.4%,2,-1.3%,18
PIT,16.7%,7,15.8%,7,6-4,15.4%,4,-2.9%,11,-1.6%,20
SD,-16.3%,27,-17.1%,27,2-7,4.4%,12,14.7%,31,-6.0%,31
SEA,20.0%,9,22.3%,5,4-5,4.9%,11,-9.1%,7,6.0%,3
SF,-36.5%,32,-37.2%,32,3-6,-18.7%,30,14.5%,30,-3.2%,26
STL,-3.7%,14,-3.9%,18,4-5,-20.2%,31,-14.4%,5,2.1%,11
TB,-13.8%,25,-11.1%,22,4-5,-10.0%,25,0.3%,15,-3.5%,28
TEN,-16.9%,24,-18.4%,29,2-7,-16.4%,29,-2.0%,13,-2.5%,24
WAS,-0.8%,19,-0.8%,15,4-5,1.9%,15,3.7%,21,1.0%,13
