Game,EGO,Spread,Spread Target,Pick
TEN @ JAC,-3.23,2.5,"[1.5, -0.5]",
DEN @ CHI,2.86,-1.0,"[1.0, -1.5]",DEN
IND @ ATL,-2.66,4.5,"[6.5, 4.0]",IND
OAK @ DET,4.02,-1.0,"[-0.5, -2.5]",OAK
STL @ BAL,-2.53,2.5,"[6.0, 4.0]",
TB @ PHI,-7.01,6.0,"[5.5, 3.5]",
WAS @ CAR,-7.53,7.0,"[6.0, 4.0]",
DAL @ MIA,-3.67,-1.5,"[2.0, -0.0]",
NYJ @ HOU,4.85,-3.0,"[-1.0, -3.5]",NYJ
KC @ SD,5.2,-3.0,"[-1.5, -3.5]",KC
GB @ MIN,1.35,1.0,"[2.5, 0.0]",GB
SF @ SEA,-14.62,13.5,"[13.0, 11.0]",
CIN @ ARI,-2.53,4.5,"[6.0, 4.0]",CIN
BUF @ NE,-6.81,7.0,"[10.5, 8.5]",
